ID,Rubrik,Beskrivning,GE_KravID
397,"S13 - 98,0 %  till HES 4h efter dygnsskifte","98,0 % av Energivärdena ska (S13) vara insamlade till HES inom 4 timmar efter dygnsskiftet.",S13
398,"S14 - 99,5 %  till HES 24h efter dygnsskifte","99,5 % av Energivärdena ska (S14) vara insamlade till HES inom 24 timmar efter dygnsskiftet.",S14
399,S15 - Komdata registreras var 15:e min,Var 15:e minut ska (S15) Mätsystemet registrera och hantera all relevant Kommunikationsmetadata för all Kommunikationsutrustning som ingår i Mätsystemet.,S15
400,S16 - Komdata till HES inom 2h,Kommunikationsmetadata (15-minutersvärden) ska (S16) levereras till HES senast inom 2 timmar från registrering i Kommunikationsutrustning.,S16
401,S17 - PQ händelser till HES inom 5 min,PQ-händelser ska (S17) finnas tillgängliga i HES systemet inom 5 minuter.,S17
402,S18 - Avbrottshändelser till HES inom 3 min,Avbrottshändelse ska (S18) finnas tillgängliga i HES systemet inom 3 minuter.,S18
403,S19 - Övriga händelser till HES inom 5 min,Övriga Händelser (exklusive PQ-händelser och Avbrottshändelse) ska (S19) finnas tillgängliga i HES systemet inom 5 minuter.,S19
404,S20 - Leverans av fabriksfil,"Leverantörens fabriksfil, innehållande Mätenheternas uppgifter, ska (S20) levereras i ett valfritt standardiserade textfilsformat, exempelvis csv.",S20
406,S22 - Mätenhetens strålningsnivå,Mätenhetens strålningsnivå ska (S22) inte överstiga gällande Lagkrav.,S22
410,S26 - automatisk uppstart efter strömavbrott,"Efter strömavbrott, oavsett längd, ska (S26) Mätenheten starta upp automatiskt och eventuella nödvändiga parametrar laddas automatiskt.",S26
413,S29 - inget behov av batteribyte,Mätenheten ska (S29) vara utformad så att om det ingår batteri ska de inte behöva bytas under mätarens livslängd och därmed ska Mätarställning och tid ej nollställas vid lagerhållning.,S29
418,S34 - Per fas min/max/medelvärden / 15 min,"Mätenheten ska (S34) för varje fas kunna mäta och registrera min, max och medelvärde för spänning, ström, aktiv och reaktiv effekt för uttag och inmatning av el per 15 minuter.",S34
420,S36 - Konfigurera värden för händelser från HES,Ingående gränsvärdena som används för Händelser ska (S36) var konfigurerbara från HES.,S36
421,S37 - Innehåll för händelse,"Varje Händelse som skapas och lagras ska (S37) innehålla minst följande attribut:
a. Händelse-ID: Ett ID för att identifiera en specifik typ av Händelse så att det går att särskilja det från en annan
b. Löpnummer eller liknande för den unika Händelsen (en nummerserie för aktiviteter från en viss Mätenhet)
c. Tidsstämpel för när aktiviteten registrerades i Mätenhet samt varaktighet på Händelsen
d. Tillverkningsnumret på den Mätenhet där aktiviteten registrerades",S37
424,S40 - Ackrediterad part för kalibrering,Kalibreringen ska (S40) utföras av en för ändamålet ackrediterad part.,S40
425,S41 - Kalibreringsrapport för mätenhet,En kalibreringsrapport ska (S41) levereras digitalt till GE innan eller i samband med att Mätenheterna levereras fysiskt där det framgår att varje enskild Mätenhet (med ID-nummer) är kalibrerad och kontrollerad.,S41
426,S42 - Kalibreringsbevis retroaktiv,Beställaren ska (S42) kunna begära och få ut kalibreringsbevis retroaktivt från Leverantören i minst 10 år efter leverans av Mätenhet.,S42
434,S50 - Högst avvika med 7 sek,Tidsangivelsen ska (S50) högst avvika med 7 sekunder från Normaltid för Mätenhet.,S50
435,S51 - Självdiagnos,Mätenheterna ska (S51) innehålla en självdiagnos som detekterar olika typer av felaktigheter.,S51
436,S52 - Kundgränssnittet ska följa standard,"Kundgränssnittet i Mätenheten ska (S52) följa standarden beskriven i ”P1 Companion Standard, version 5.0.2, 2016-02-26” eller likvärdigt",S52
437,S53 - Spec för kundgränssnittet,"förutom att det format, datatyp och omfattning ska (S53) vara enligt bilaga 3 Förslag på datapresentation i ”Branschrekommendation för lokalt Kundgränssnitt för elmätare"", utgivet av Energiföretagen - Swedenergy – AB version 2.0 2019-12-03.",S53
438,S54 - ID ska ksickas ut via kundgränssnittet,Mätarleverantörens ID på Mätaren (motsvarar Equipment identifier i 7.1 P1 Companion Standard) ska (S54) skickas ut via Kundgränssnittet.,S54
439,S55 - Aktivering och deaktivering av Kundgränssnittet ska kunna göras lokalt,Aktivering och deaktivering av Kundgränssnittet ska (S55) kunna göras lokalt från Mätenheten av Beställaren.,S55
440,S56 - Kundgränssnitt är som default deaktiverat,Vid leverans från fabrik ska (S56) Mätenhetens Kundgränssnitt vara deaktiverat.,S56
441,S57 - Brytare kan hanteras lokalt,Brytaren ska (S57) kunna manövreras lokalt på Mätenheten.,S57
442,S58 - Kumulativt räkneverk,Mätenheten ska (S58) vara försedd med ett kumulativt räkneverk och visa minst 7 heltalssiffror samt 3 decimalsiffror.,S58
444,S60 - Korrekt mätarställnigng,"Mätarställningen på Mätenheten ska (S60) alltid överensstämma med sifferkapaciteten på insamlat Energivärde och displayen, även om Mätarställningen varvas.",S60
445,S61 - Serviceport för konfiguration,Det ska (S61) finnas funktionalitet för att lokalt konfigurera Mätenheten via serviceport eller motsvarande.,S61
446,S62 - Konfiguration från fabrik,Mätenheterna ska (S62) vara komplett konfigurerade enligt Beställarens krav från fabrik.,S62
447,S63 - Uppgradering från HES,Mjukvara i mätare (förutom metrologisk mjukvara) och kommunikationsenhet ska (S63) kunna uppgraderas från HES.,S63
449,S65 - Felhatering vid firmware uppdatering,Mätenheten ska (S65) behålla och återlagra existerande Firmware om uppdatering med ny Firmware misslyckas.,S65
450,S66 - Konfigurering a Mätenhet till Händelselogg,Ändring av konfigurering i Mätenhet ska (S66) registreras i en Händelselogg.,S66
451,S67 - Läsa ut mätdata från serviceport,Det ska (S67) vara möjligt att läsa ut all Mätdata från Mätenhetens serviceport eller motsvarande.,S67
466,S82 - 1-fas och 3-fas mätning ska uppfylla Mätarparametrar enligt MID,"1-fas och 3-fas mätning ska (S82) uppfylla mätarparametrar enligt MID:
- Class index = B (eller bättre)
- Minimum current (Imin) = 0,25 A (eller lägre)
- Reference current (In) = 5 A
- Maximum current (Imax) = 85 A (eller högre) (inklusive brytarfunktion)",S82
467,S83 - Uppfylla kraven i Nationella Stickprovet,"Kategori 1 mätare ska (S83) uppfylla kraven i Nationella Stickprovet, enligt Föreskrift STAFS 2009:9, för de 2 första stickprovskontrollerna, dock maximalt 12 år efter att Slutgodkännande lämnats av Beställaren.",S83
468,S84 - Mätenhet ska uppfylla Mätarparametrar enligt MID,"Mätenhet ska (S84) uppfylla mätarparametrar enligt MID:
- Class index = B (eller bättre)
- Minimum current (Imin) = 0,01 A (eller lägre)
- Rated current (In) = 1 A
- Maximum current (Imax) = 6 A (eller högre)",S84
469,S85 - Dokumentation om Mätenhetens typiska påverkan,"Leverantören ska (S85) utöver typgodkännande specificera och tillhandahålla dokumentation om Mätenhetens typiska påverkan av följande influensstorheter (se SS-EN 50470-3, tabell 6):
- Temperaturkoefficient
- Voltage variation ± 10 %
- Frequency variation ± 2 %",S85
471,S87 - Strömtransformatorns omsättningskonstant,Mätaren ska (S87) kunna hantera strömtransformatorns omsättningskonstant.,S87
472,S88 - Kat 2 ska uppfylla kraven för kontroll,"Mätenheter Kategori 2 ska (S88) uppfylla kraven för Kontroll, enligt Föreskrift STAFS 2009:8, för den första Kontrollen, dock maximalt 12 år efter att Slutgodkännande lämnats av Beställaren.",S88
474,S90 - Kommunikationsutrustning i HES,"I HES ska (S90) det finnas funktionalitet för att automatiskt och manuellt administrera:
- Installation av ny Kommunikationsutrustning
- Byte av Kommunikationsutrustning
- Nedtagning av Kommunikationsutrustning",S90
475,S91 - Data i HES,"HES ska (S91) minst hantera följande typer av data:
- Strukturdata (t.ex. Anläggnings-ID, Mätenhet)
- Mätvärden (Mätvärden med t.ex. ID-nummer, status, tidsstämpel)
- Händelse (Händelse med t.ex. Händelse-ID, tidpunkter, Larm)",S91
476,S92 - Register/OBIS-koder,Det ska (S92) vara möjligt från HES att välja vilka register (OBIS-koder) från Mätenheter som ska läsas ut vid momentan avläsning.,S92
477,S93 - Strukturdata i HES,En Användare ska (S93) manuellt kunna registrera strukturdata i HES.,S93
478,S94 - Automatisk insamling av Mätvärden,Mätsystemet ska (S94) kunna konfigureras för regelbunden automatisk insamling av Mätvärden från Mätenheter till HES.,S94
480,S96 - Begära mätvärden från utvalda mätare,"Det ska (S96) vara möjligt att manuellt begära in Mätvärden, både momentana och tidsperiodiska, från enstaka Mätenheter, utvalda Mätenheter eller definierad grupp av Mätenheter.",S96
481,S97 - schemalägga Jobb för mätinsamling,En Användare i HES ska (S97) kunna skapa och schemalägga Jobb för mätinsamling.,S97
482,S98 - Flera insamlingsjobb samtidigt,HES ska (S98) kunna hantera att flera insamlingsjobb körs samtidigt.,S98
483,S99 - Manuella Jobb för mätinsamling,En Användare i HES ska (S99) kunna skapa och starta manuella Jobb för mätinsamling.,S99
484,S100 - Automatisk och manuell insamling,HES ska (S100) kunna ta emot och behandla Mätvärden som insamlats på manuell begäran och ska då behandlas på samma sätt som automatiskt insamlade.,S100
485,S101 - Alla mätvärden ska märkas med status,"I HES ska (S101) alla Mätvärden märkas beträffande status för värdet. Exempel på statusmärkningar kan vara avläst värde, felaktigt värde, värde saknas, estimerat, manuellt registrerat och osäkert värde.",S101
486,S102 - Rapporter utifrån status,Sammanställning av statusmärkt data i HES ska (S102) kunna tas ut i rapporter t.ex. alla Mätvärden med en specifik status.,S102
487,S103 - Energivärdena lagras 13 mån,Energivärdena (15-minutersvärden) ska (S103) lagras minst i 13 månader i HES.,S103
488,S104 - PQ-värdena lagras 60 dygn,PQ-värdena (15-minutersvärden) ska (S104) lagras minst 60 dygn i HES.,S104
489,S105 - Kommunikationsmetadata lagras 36 mån,Kommunikationsmetadata (15-minutersvärden) ska (S105) lagras minst i 36 månader i HES,S105
490,S106 - Skapa mätserier för tidsintervall,"Det ska (S106) vara möjligt att skapa mätserier för ett valt tidsintervall enligt följande:
- Minutserie (1–15 minuter)
- Timserie
- Dygnsserie
- Månadsserie",S106
491,S107 - Positionskoordinater,I HES systemet ska (S107) det vara möjligt att lagra och presentera positionskoordinater för Mätenhet och eventuell Kommunikationsutrustning.,S107
492,S108 - Konfigurera händelser med  gränsvärden,"Det ska (S108) vara möjligt, ifrån HES, att konfigurera Händelser med olika gränsvärden på Mätenhetens register som distribueras till Mätenheterna.",S108
493,S109 - Händelse-ID till händelsetext,I HES ska (S109) Händelse-ID som skickas från Mätenheten översättas till händelsetext.,S109
494,S110 - Händelser lagras 13 mån,Samtliga Händelser ska (S110) lagras minst i 13 månader i HES.,S110
495,S111 - Exportera rapporter och data,"Framsökta mät- och strukturdata samt färdiga rapporter ska (S111) kunna exporteras till ett valfritt standardiserat textfilsformat, exempelvis csv.",S111
496,S112 - Skapa och schemalägga Jobb för mätinsamling,En Användare i HES ska (S112) kunna skapa och schemalägga Jobb för mätinsamling.,S112
497,S113 - Skapa och starta manuella exportjobb,En Användare i HES ska (S113) kunna skapa och starta manuella exportjobb.,S113
498,S114 - Importera strukturdata,"Det ska (S114) finnas funktionalitet i HES för att kunna importera strukturdata från ett valfritt standardiserat textfilsformat, exempelvis csv.",S114
499,S115 - Importera Mätdata,"Det ska (S115) finnas funktionalitet i HES för att kunna importera Mätdata från ett valfritt standardiserat textfilsformat, exempelvis csv.",S115
500,S116 - Skalning av miljö,HES ska (S116) kunna skalas så att kravställd prestanda kan bibehållas med ökade datavolymer.,S116
508,S124 - Sammanställa statistik för mätvärden,HES ska (S124) ha funktionalitet för att sammanställa statistik över Mätvärden och visa detta grafiskt och i tabellform.,S124
509,S125 - Skapa egna rapporter,Det ska (S125) vara möjligt för Användaren att själv skapa rapporter och definiera innehåll i HES.,S125
510,S126 - Presentera mätarställning för tidpunkt,HES ska (S126) presentera en Mätarställning för en viss tidpunkt.,S126
511,S127 - Förbrukningsvärden för tidsintervall,"Det ska (S127) gå att beräkna, lagra och presentera förbrukningsvärden för olika tidsintervall. Förbrukning beräknas som skillnaden mellan Mätarställningar vid olika tidpunkter.",S127
512,S128 - Användargränssnitt enligt standard,"Användargränssnittet ska (S128) vara ändamålsenligt, effektivt och ge god tillfredsställelse i användningen, såsom definierat i den internationella standarden ISO 9241-11 eller likvärdig.",S128
513,S129 - Responsivt användargränssnitt,HES ska (S129) stödja ett responsivt användargränssnitt som gör att layouten förändras beroende på vilken skärmupplösning Användaren har.,S129
516,S132 - Formulärvyer,Det ska (S132) finnas formulärvyer för presentation och inmatning/modifiering av strukturdata.,S132
517,S133 - Formulärvyers upplägg,I formulären ska (S133) det framgå hur ingående delar i strukturen hänger samman hierarkiskt.,S133
518,S134 - Vy för mätvärden,I HES ska (S134) det finnas vyer där Mätvärden från en eller flera Mätenheter presenteras i tabellform.,S134
519,S135 - Tidsintervall för mätvärden,Det ska (S135) finnas funktionalitet för att välja olika tidsintervaller och tidsupplösning för de Mätvärden som presenteras.,S135
521,S137 - Registrering av mätvärde,"Mätvärdet som registreras och lagras i HES ska (S137) vara oförvanskat, dvs. exakt samma värde som registrerats av Mätenheten.",S137
522,S138 - Visning av mätvärde,Samtliga Mätvärden som kan samlas in från Mätenheten ska (S138) kunna visas i HES.,S138
523,S139 - Händelser till larmlista,Händelser som konfigureras att generera Larm ska (S139) visas i en larmlista.,S139
524,S140 - Larminformation,"Varje Larm ska (S140) minst innehålla information: Händelse-ID, löpnummer, tidsstämpel, tillverkningsnummer på Mätenhet och Anläggnings-ID och anläggningsadress som också ska vara sökbara och möjliga att sortera.",S140
525,S141 - Presentation av händelser,I HES ska (S141) varje Händelse och dess ingående attributvärden (enl. kapitel 3.1.5) presenteras i en händelselista.,S141
526,S142 - Händelseinformation,"Varje Händelse ska (S142) minst innehålla information: Händelse-ID, löpnummer, tidsstämpel, tillverkningsnummer på Mätenhet och Anläggnings-ID och anläggningsadress som också ska vara sökbara och möjliga att sortera.",S142
527,S143 - loggning av händelser,Händelser i Mätsystemet ska (S143) loggas i en händelselista i HES.,S143
529,S145 - Sortering av händelser,I HES ska (S145) Händelser från Mätenheten kunna sorteras i kronologisk ordning utifrån Händelsens tidsstämpel.,S145
530,S146 - Översiktsbild för mätvärdesinsamling,Det ska (S146) finnas funktionalitet i HES för att kunna övervaka mätinsamlingen med hjälp av t.ex. en översiktsbild som visar insamlade och saknade Mätvärden vid en valbar tidpunkt.,S146
531,S147 - Visning av PQ värden,I HES ska (S147) det finnas möjlighet att analysera och visualisera PQ-värden i t.ex. grafer och staplar.,S147
532,S148 - Tidstämpel för mätvärde,Varje Mätvärde ska (S148) tidstämplas med Aktuell tid då det inkom till HES.,S148
533,S149 - Klocka i HES,"HES ska (S149) innehålla en klocka som visar Aktuell tid i timmar, minuter och sekunder.",S149
534,S150 - Presentera normaltid/aktuell tid,"Presentationer i HES på bildskärm, rapporter m.m. ska (S150) valbart kunna visas i Normaltid eller Aktuell tid.",S150
535,S151 - Kalender med aktuell tid,"HES ska (S151) innehålla en kalender som visar Aktuell tid i år, månad och dag",S151
536,S152 - Välja datum med kalenderfunktion,Där det finns behov av att välja datum i HES ska (S152) detta kunna ske genom en tid- och kalenderfunktion.,S152
537,S153 - Normaltid för mätserier,Internt i HES ska (S153) svensk Normaltid gälla för alla mätserier.,S153
538,S154 - Tid i svenskt format,"HES tid ska (S154) visas i svenskt format (HH:MM:SS, H=timme, M=minut, S=sekund)",S154
539,S155 - Kalender i svenskt format,"HES kalender ska (S155) visas i svenskt format (ÅÅÅÅ-MM-DD, Å=år, M=månad, D=dag)",S155
540,S156 - Ingen påverkan av sommar/vintertid,"Omställning mellan sommar- och vintertid ska (S156) inte ge konsekvenser beträffande t.ex. mätvärdeslagring, mätvärdespresentation, Händelse- och larmhantering i HES.",S156
543,S159 - Sökfunktion med filtrering,"Det ska (S159) finnas en sökfunktion för utsökning av data i HES där det går att skapa sökningar med hjälp av filtrering på en eller flera inparametrar.
T.ex. Anläggnings-ID, EAN-nummer, Mätpunkter, adresser och mätartyp.",S159
544,S160 - Sökbar data,"Följande data ska (S160) kunna sökas ut ur HES databas:
- Strukturdata
- Mätvärden, varvid sökning ska kunna ske på valfri tidsperiod – definierar begränsning av tiden för sökt mätserie
- Händelse
- Larm",S160
545,S161 - Söka på en delmängd,Vid sökning ska (S161) det vara möjligt att söka på en delmängd (med hjälp av ”wildcard”) av den informationen som eftersöks.,S161
546,"S162 - Kopiera, klippa och klistra","Det ska (S162) vara möjligt för Användaren att kopiera, klippa ut och klistra in data i HES samtliga formulär och fält för inmatning.",S162
548,S164 - Konfigurera mätenhet från HES,Samtliga parametrar som går att konfigurera av Beställaren i Mätenheten ska (S164) också kunna konfigureras fjärrstyrt från HES.,S164
549,S165 - Registrera förändringar med unikt ID,"HES ska (S165) registrera förändringar i Mätsystemet med ett unikt ID för spårbarhet, t.ex. konfigurering i Mätenhet, uppgradering av mjukvara, till- och frånkoppling av kundanläggning via Mätenhetens brytare, ändringar av strukturdata och vilken Användare som har aktiverat eller avaktiverat ett Larm.",S165
550,S166 -  Behörighetprofiler för användarrättigheter,"HES ska (S166) ha behörighetprofiler för åtminstone följande användarrättigheter:
- Komma åt operativsystem, starta och stoppa systemet, uppdatera databas, ändra behörighetsprofiler m.m.
- Inmatning/uppdatering av strukturdata, insamling av Mätvärden m.m.
- Till- och frånkoppling av kundanläggning via Mätenhetens brytare
- Åtkomst till Mätenhetens Mätdata och inställningar
- Endast ”titta”, ej redigera",S166
551,S167 - Behörighetsstruktur baserat på rollspecifikation,Leverantören ska (S167) under införandet definiera och implementera en behörighetsstruktur i HES med olika roller baserat på den rollspecifikation som tagits fram av Beställaren i samråd med Leverantören under införandet.,S167
552,S168 - Administrera behörighetsnivåer,"Beställarens ska (S168) kunna administrera, skapa, redigera och ta bort behörighetsnivåer och roller i HES gränssnitt.",S168
553,S169 - Till och frånkoppling av brytare från HES,Till- och frånkoppling av kundanläggning via Mätenhetens brytare ska (S169) kunna göras från HES.,S169
554,S170 - Status för brytare,I HES ska (S170) det vara möjligt för Användaren att se om Mätenhetens brytare är till- eller frånkopplad.,S170
557,S173 - Till och frånkoppling av kundgränssnittet från HES,Aktivering och deaktivering av Kundgränssnittet ska (S173) kunna göras från HES.,S173
558,S174 - Status för kundgränssnittet,I HES ska (S174) det vara möjligt att se om Kundgränssnittet i en Mätenhet är aktiverat eller deaktiverat för datautskick.,S174
559,S175 - Hantera rundgång,HES ska (S175) hantera rundgång (Mätarställning går från max till 0) i Mätenheten så att förbrukningen blir korrekt.,S175
560,S176 - Korrigera mätvärden,"En Användare i HES ska (S176) ha möjlighet att korrigera Mätvärden, t.ex. ersätta ett felaktigt värde med ett manuellt registrerat data.",S176
561,S177 - Interpolering i HES,Det ska (S177) finnas funktionalitet i HES för att kunna utföra Interpoleringar där insamlat värde saknas.,S177
562,S178 - HES på svenska,Svenska och svensk teckenuppsättning ska (S178) gälla för HES.,S178
565,S181 - Skillnad på test och prod,Det ska (S181) vara tydligt för en Användare att se skillnad på HES test- och produktionsmiljö så att Användaren enkelt ser att hen är i rätt miljö.,S181
567,S183 - Inget batteribyte,Kommunikationsutrustningen ska (S183) vara utformad så att om det ingår batteri ska de inte behöva bytas under Kommunikationsutrustningens livslängd.,S183
570,S186 - Återställningstid efter kommunikationsavbrott max 60 min,Återställningstid för infrastrukturkommunikationen efter kommunikationsavbrott ska (S186) högst vara 60 minuter.,S186
571,S187 - Återställningstid efter strömavbrott max 60 min,"Återställningstiden för infrastrukturkommunikationen, efter ett strömavbrott, ska (S187) högst vara 60 minuter efter den tidpunkt då elnätet åter är i drift.",S187
572,S188 - Korrekt kommunikation,All kommunikation i Mätsystemet ska (S188) säkerställa korrekt kommunikation t.ex. med hjälp av checksummor.,S188
573,S189 - All mätdata för alla mätare inom 60 min,Kommunikationslösningen ska (S189) klara av att hämta in 95 % av all Mätdata från 300 000 mätare och för de senaste 24 timmarna inom 60 minuter,S189
576,S192 - Licensierade telenät,Om kommunikationslösningen innefattar licensierade telenät ska (S192) den följa Förordningar och Föreskrifter i enlighet med PTSFS 2015:2 utgiven av PTS (Post- och Telestyrelsen).,S192
577,S193 - DLMS/ COSEM Suite 1,Mätsystemet ska (S193) minst följa kommunikation enligt specifikation DLMS/ COSEM Suite 1.,S193
578,S194 - Automatiskt hittar ny kommunikationsväg,Systemlösningen ska (S194) innehålla funktionalitet som automatiskt hittar ny kommunikationsväg till HES även om omkopplingar eller förändringar sker i kommunikationsnätet.,S194
580,S196 - Virtuella och fysiska servrar,HES ska (S196) kunna köras på virtuella servrar likväl som fysiska.,S196
582,S198 - Servrar,HES ska (S198) kunna köras på servrar som stödjs av Beställaren. Se Appendix B.15.1 Förutsättningar IT-miljö.,S198
583,S199 - Köras som tjänst,HES ska (S199) kunna köras som en eller flera tjänster på applikationsservern.,S199
584,S200 - Startas automatiskt,HES tjänst(er) ska (S200) kunna konfigureras att starta automatiskt vid exempelvis omstart.,S200
585,S201 - Lista licenser och program,Leverantören ska (S201) leverera en lista på samtliga licenser och programvaror som är inkluderat i systemleveransen,S201
588,S204 - Databashanterare med versionsnummer,Leverantören ska (S204) redogöra för vilken/vilka databashanterare med versionsnummer som rekommenderas för HES.,S204
589,S205 - Säkerhetskopiering under drift,HES data ska (S205) kunna säkerhetskopieras under pågående drift utan väsentlig påverkan för HES Användare.,S205
590,S206 - Inkluderas i säkerhetskopiering,HES konfigurationer och inställningar av applikationen ska (S206) kunna säkerhetskopieras.,S206
591,S207 - Fjärruppkoppling,"För fjärrdiagnostik, support och underhåll ska (S207) systemlösningen erbjuda möjlighet till fjärruppkoppling under förutsättning att ställda säkerhets- och sekretesskrav kan tillgodoses.",S207
592,S208 - HES från beställarens IT-arbetsplats,Användare ska (S208) kunna använda HES från operatörsplats som är Beställarens IT-arbetsplats. Se Appendix B.15.1 Förutsättningar IT-miljö.,S208
595,S211 - Stödja marknadsledande webbläsare,"Om HES är webbaserat ska (S211) det stödja de vid varje tillfälle marknadsledande webbläsarna under avtalsperioden.
Om HES inte är webbaserat så anses detta krav vara uppfyllt.",S211
597,S213 - Webserviceanrop,HES ska (S213) kunna genomföra och ta emot webserviceanrop.,S213
598,S214 - Utbyte av data via köhanterare,HES ska (S214) kunna hantera utbyte av data via köhanterare såsom exempelvis JMS eller IBM Websphere MQ.,S214
599,S215 -  Integrationer via filer,HES ska (S215) kunna hantera integrationer via filer.,S215
600,S216 - Händelsedrivna integrationer,HES ska (S216) kunna hantera händelsedrivna integrationer.,S216
602,S218 - Användarstyrning på integrationer,Användarstyrning eller likvärdigt ska (S218) finnas på samtliga integrationer.,S218
603,S219 - Loggar för integrationer,HES ska (S219) ha läsbara loggar för integrationer till och från systemlösningen för att visa vilken data som skickats och tagits emot samt eventuella felaktigheter som uppträtt vid överföringarna.,S219
604,S220 - Återsända information,"Det ska (S220) vara möjligt att återsända information som sänts via HES Integrationsgränssnitt, exempelvis om mottagarsystemet ligger nere.",S220
605,S221 - Common Information Model (CIM),HES systemet ska (S221) stödja Common Information Model (CIM) och följa standard IEC 61968-9 eller likvärdigt vid informationsutbyte med t.ex. Distribution Management Systems (DMS) och Meter Data Management System (MDMS).,S221
607,S223 - Behörighet till subjekt,Behörighet ska (S223) alltid tilldelas till ett Subjekt.,S223
608,S224 - Dölja lösenord,Lösenord ska (S224) inte lagras i klartext. Redovisa hur detta säkerställs.,S224
610,S226 - Krypterad inloggning,Inloggning ska (S226) ske krypterat.,S226
611,S227 - Bhörighetsstyrning för verktyg,Det ska (S227) finnas behörighetsstyrning för verktyg som kan ha förmåga att kringgå säkerhetsåtgärder.,S227
612,S228 - Styra tid för utloggning,Beställaren ska (S228) kunna styra efter hur många minuters inaktivitet en Användare automatiskt loggas ut från HES.,S228
613,S229 - Kryptera kommunikation,"All kommunikation som är möjlig att kryptera ska (S229) vara krypterad.
Redovisa hur er lösning för nyckelhantering i Mätsystemet ser ut.",S229
614,S230 - Krypteringsalgoritmer och kryptografiska hash-funktioner,"Krypteringsalgoritmer och kryptografiska hash-funktioner som används inom Lösningen ska (S230) vara säkra enligt Branschpraxis. Redovisa vilka lösningar som bygger på krypteringsteknik, samt vilka standarder dessa bygger på.",S230
615,S231 - Krypteringsnycklar,Mätsystemet ska (S231) kunna hantera och administrera Mätenheternas krypteringsnycklar.,S231
617,S233 - Tidavvikelse max 7s,Tidsavvikelsen mellan utrustningar i Mätsystemet ska (S233) maximalt vara 7 s.,S233
622,S238 - Skydd av mätare,"Mätarna ska (S238) vara skyddade mot intrång, manipulering och exekvering av obehörig eller skadlig kod.",S238
623,S239 - Transaktionssäkerhet,Transaktionssäkerhet ska (S239) garanteras,S239
624,S240 - Transaktionssäkerhetsmetod,och metoden ska (S240) finnas beskriven. Redovisa metoden.,S240
625,S241 - Autentisering mot angränsande system,Autentisering ska (S241) användas då Mätsystemet interagerar med angränsande system.,S241
626,S242 - Skydd av mätenheterna,Mätsystemet ska (S242) vara skyddat mot intrång via Mätenheterna.,S242
