ID,Rubrik,Beskrivning,GE KravID
395,S11 - Energivärden till HES inom 2h,Energivärdena (15-minutersvärden) ska (S11) levereras till HES senast inom 2 timmar från registrering i Mätenhet.,S11
396,S12 - PQ värden till HES inom 4h,PQ-värdena (15-minutersvärden) ska (S12) levereras senast inom 4 timmar från registrering i Mätenheterna till HES,S12
397,"S13 - 98,0 %  till HES 4h efter dygnsskifte","98,0 % av Energivärdena ska (S13) vara insamlade till HES inom 4 timmar efter dygnsskiftet.",S13
398,"S14 - 99,5 %  till HES 24h efter dygnsskifte","99,5 % av Energivärdena ska (S14) vara insamlade till HES inom 24 timmar efter dygnsskiftet.",S14
399,S15 - Komdata registreras var 15:e min,Var 15:e minut ska (S15) Mätsystemet registrera och hantera all relevant Kommunikationsmetadata för all Kommunikationsutrustning som ingår i Mätsystemet.,S15
400,S16 - Komdata till HES inom 2h,Kommunikationsmetadata (15-minutersvärden) ska (S16) levereras till HES senast inom 2 timmar från registrering i Kommunikationsutrustning.,S16
401,S17 - PQ händelser till HES inom 5 min,PQ-händelser ska (S17) finnas tillgängliga i HES systemet inom 5 minuter.,S17
402,S18 - Avbrottshändelser till HES inom 3 min,Avbrottshändelse ska (S18) finnas tillgängliga i HES systemet inom 3 minuter.,S18
403,S19 - Övriga händelser till HES inom 5 min,Övriga Händelser (exklusive PQ-händelser och Avbrottshändelse) ska (S19) finnas tillgängliga i HES systemet inom 5 minuter.,S19
404,S20 - Leverans av fabriksfil,"Leverantörens fabriksfil, innehållande Mätenheternas uppgifter, ska (S20) levereras i ett valfritt standardiserade textfilsformat, exempelvis csv.",S20
405,S21 - Mätenhetens driftområde,"Mätenheten ska (S21) vara anpassad för utomhusmätning med driftområde (""specified operation range"") -40 grader C till +70 grader C (3K7) och tåla kondenserad fuktighet.",S21
406,S22 - Mätenhetens strålningsnivå,Mätenhetens strålningsnivå ska (S22) inte överstiga gällande Lagkrav.,S22
407,S23 - Mätehenten matas ov Omätt ström,Mätenheter ska (S23) vara så konstruerade att de matas av Omätt ström.,S23
408,S24 - Mätenhetens funktion efter bortfall av faser,Mätenheten i en 3-fasanläggning ska (S24) ha fortsatt funktion även vid bortfall av en eller två faser.,S24
409,S25 - Mätenhetens gränssnitt,"Det ska (S25) framgå på Mätenheten att det finns spänning, ström och effekt på respektive fas, effektriktning och fasernas ordningsföljd.",S25
410,S26 - automatisk uppstart efter strömavbrott,"Efter strömavbrott, oavsett längd, ska (S26) Mätenheten starta upp automatiskt och eventuella nödvändiga parametrar laddas automatiskt.",S26
411,S27 - typgodkännande,"Utökat typgodkännande och certifiering av Mätenheter ska (S27) genomföras enligt metod SPM 1618, test med 12 kV stötspänning.",S27
412,S28 - Livslängd,En Mätenhet ska (S28) ha en förväntad livslängd som är 15 år räknat från tidpunkten då den levererats till GE.,S28
413,S29 - inget behov av batteribyte,Mätenheten ska (S29) vara utformad så att om det ingår batteri ska de inte behöva bytas under mätarens livslängd och därmed ska Mätarställning och tid ej nollställas vid lagerhållning.,S29
414,S30 - Mängd tillåtna felande mätare,"Under Mätenheternas förväntade livslängd ska (S30) utfallen av Fel (som kräver mätarbyte) inte överstiga 0,75 % per år av installerad volym.",S30
415,S31 - Vektorsummerad mätning,Mätmetoden i Mätenheten ska (S31) vara vektorsummerad mätning enligt Föreskrift STAFS 2009:8.,S31
416,S32 - Förbrukninsvärden upplösning 1Wh,De av Mätenheten registrerade Förbrukningsvärden ska (S32) minst ha upplösningen 1 Wh.,S32
417,S33 - Inmating och uttag - aktiv och reaktiv / 15 min,Mätenheten ska (S33) kunna registrera mängden överförd aktiv och reaktiv energi för uttag och inmatning av el per 15 minuter.,S33
418,S34 - Per fas min/max/medelvärden / 15 min,"Mätenheten ska (S34) för varje fas kunna mäta och registrera min, max och medelvärde för spänning, ström, aktiv och reaktiv effekt för uttag och inmatning av el per 15 minuter.",S34
419,S35 - Händelser som registreras,"Mätsystemet ska (S35) registrera och lagra information när följande Händelser inträffar:
1. Tid i mätenhetens klocka förändrats utifrån det konfigurerade tidsintervallet
2. Om tiden i Mätenhetens klocka skiljer sig från tiden i HES
3. Avvikelse vid självdiagnos
4. Till- eller frånkoppling av kundanläggning via Mätenhetens brytare (gäller endast Kategori 1)
5. Till- eller frånkoppling av kundanläggning via Mätenhetens brytare med kommando från HES (gäller endast Kategori 1)
6. Misslyckad till- eller frånkoppling via Mätenhetens brytare (gäller endast Kategori 1)
7. Strömavbrott i en eller flera faser
8. Spänning saknas på fas
9. Långvarig underspänning
10. Långvarig överspänning
11. Kortvarig överspänning
12. Kortvarig underspänning
13. Obalans spänning mellan faser (gäller ej enfasmätare)
14. Felaktig effektriktning
15. Ström utan spänning
B.2.1 KRAVSPECIFIKATION
TEKNISK LÖSNING
8 (32)
Upphandlingsreferens
19-0019
16. THD i spänning överskrider inställt gränsvärde
17. THD i ström överskrider inställt gränsvärde
18. Bortfall av neutralledare
19. Fel fasföljd (gäller ej enfasmätare)
20. Magnetisk åverkan
21. Öppen lucka för Kommunikationsmodul
22. Öppen lucka för anslutningar",S35
420,S36 - Konfigurera värden för händelser från HES,Ingående gränsvärdena som används för Händelser ska (S36) var konfigurerbara från HES.,S36
421,S37 - Innehåll för händelse,"Varje Händelse som skapas och lagras ska (S37) innehålla minst följande attribut:
a. Händelse-ID: Ett ID för att identifiera en specifik typ av Händelse så att det går att särskilja det från en annan
b. Löpnummer eller liknande för den unika Händelsen (en nummerserie för aktiviteter från en viss Mätenhet)
c. Tidsstämpel för när aktiviteten registrerades i Mätenhet samt varaktighet på Händelsen
d. Tillverkningsnumret på den Mätenhet där aktiviteten registrerades",S37
422,S38 - Händelser momentat till HES,Händelser och tillhörande register (OBIS-koder) ska (S38) skickas momentant till HES.,S38
423,S39 - Kontroll av mätenehtet,Varje enskild Mätenhet ska (S39) vara kalibrerad och kontrollerad att den mäter inom de gränsvärden som anges i SS-EN 50470.,S39
424,S40 - Ackrediterad part för kalibrering,Kalibreringen ska (S40) utföras av en för ändamålet ackrediterad part.,S40
425,S41 - Kalibreringsrapport för mätenhet,En kalibreringsrapport ska (S41) levereras digitalt till GE innan eller i samband med att Mätenheterna levereras fysiskt där det framgår att varje enskild Mätenhet (med ID-nummer) är kalibrerad och kontrollerad.,S41
426,S42 - Kalibreringsbevis retroaktiv,Beställaren ska (S42) kunna begära och få ut kalibreringsbevis retroaktivt från Leverantören i minst 10 år efter leverans av Mätenhet.,S42
427,S43 - Testpuls för kalibrering,Mätenheten ska (S43) vara försedd med en testpuls som kan användas till kalibrering.,S43
428,S44 - Energivärden lagras 40 dygn,Energivärdena (15-minutersvärden) ska (S44) lagras minst i 40 dygn i Mätenheterna.,S44
429,S45 - PQ värden lagras 7 dygn,PQ-värdena (15-minutersvärden) ska (S45) lagras minst i 7 dygn i Mätenheterna.,S45
430,S46 - Avbrottshändelser lagras 40 dygn,Avbrottshändelse ska (S46) lagras minst i 40 dygn i Mätenheterna.,S46
431,S47 - PQ händelser lagras 40 dygn,PQ-händelser ska (S47) lagras minst i 40 dygn i Mätenheterna,S47
432,S48 - Övriga händelser lagras 40 dygn,Övriga Händelser ska (S48) lagras minst i 40 dygn i Mätenheterna.,S48
433,S49 - Registrera tid i Normaltid,Mätenheterna ska (S49) registrera tid i Normaltid (UTC+1).,S49
434,S50 - Högst avvika med 7 sek,Tidsangivelsen ska (S50) högst avvika med 7 sekunder från Normaltid för Mätenhet.,S50
435,S51 - Självdiagnos,Mätenheterna ska (S51) innehålla en självdiagnos som detekterar olika typer av felaktigheter.,S51
436,S52 - Kundgränssnittet ska följa standard,"Kundgränssnittet i Mätenheten ska (S52) följa standarden beskriven i ”P1 Companion Standard, version 5.0.2, 2016-02-26” eller likvärdigt",S52
437,S53 - Spec för kundgränssnittet,"förutom att det format, datatyp och omfattning ska (S53) vara enligt bilaga 3 Förslag på datapresentation i ”Branschrekommendation för lokalt Kundgränssnitt för elmätare"", utgivet av Energiföretagen - Swedenergy – AB version 2.0 2019-12-03.",S53
438,S54 - ID ska ksickas ut via kundgränssnittet,Mätarleverantörens ID på Mätaren (motsvarar Equipment identifier i 7.1 P1 Companion Standard) ska (S54) skickas ut via Kundgränssnittet.,S54
439,S55 - Aktivering och deaktivering av Kundgränssnittet ska kunna göras lokalt,Aktivering och deaktivering av Kundgränssnittet ska (S55) kunna göras lokalt från Mätenheten av Beställaren.,S55
440,S56 - Kundgränssnitt är som default deaktiverat,Vid leverans från fabrik ska (S56) Mätenhetens Kundgränssnitt vara deaktiverat.,S56
441,S57 - Brytare kan hanteras lokalt,Brytaren ska (S57) kunna manövreras lokalt på Mätenheten.,S57
442,S58 - Kumulativt räkneverk,Mätenheten ska (S58) vara försedd med ett kumulativt räkneverk och visa minst 7 heltalssiffror samt 3 decimalsiffror.,S58
443,S59 - Mätenhetens display,"Mätenhetens display ska (S59) för varje fas kunna visa momentanvärde för spänning, ström, effekt för uttag och inmatning av el.",S59
444,S60 - Korrekt mätarställnigng,"Mätarställningen på Mätenheten ska (S60) alltid överensstämma med sifferkapaciteten på insamlat Energivärde och displayen, även om Mätarställningen varvas.",S60
445,S61 - Serviceport för konfiguration,Det ska (S61) finnas funktionalitet för att lokalt konfigurera Mätenheten via serviceport eller motsvarande.,S61
446,S62 - Konfiguration från fabrik,Mätenheterna ska (S62) vara komplett konfigurerade enligt Beställarens krav från fabrik.,S62
447,S63 - Uppgradering från HES,Mjukvara i mätare (förutom metrologisk mjukvara) och kommunikationsenhet ska (S63) kunna uppgraderas från HES.,S63
448,S64 - Uppdatering av Firmware,Mätenheten ska (S64) alltid kunna ta emot uppdateringar av Firmware.,S64
449,S65 - Felhatering vid firmware uppdatering,Mätenheten ska (S65) behålla och återlagra existerande Firmware om uppdatering med ny Firmware misslyckas.,S65
450,S66 - Konfigurering a Mätenhet till Händelselogg,Ändring av konfigurering i Mätenhet ska (S66) registreras i en Händelselogg.,S66
451,S67 - Läsa ut mätdata från serviceport,Det ska (S67) vara möjligt att läsa ut all Mätdata från Mätenhetens serviceport eller motsvarande.,S67
452,S68 - Unikt tillverkningsnummer,Mätaren ska (S68) vara försedd med Leverantörens unika tillverkningsnummer som inte får förekomma på Leverantörens tidigare eller framtida produkter.,S68
453,S69 - Unikt tillverkningsnummer - kommunikationsmodul,Om Mätenheten består av mätare och en Kommunikationsmodul ska (S69) dessa vara försedda med var sitt unikt tillverkningsnummer.,S69
454,S70 - Synligt tillverkningsnummer - kommunikationsmodul,Ett tillverkningsnummer på en Kommunikationsmodul ska (S70) vara placerat så att det inte är synligt på Mätenhetens framsida.,S70
455,S71 - Synligt tillverkningsnummer,Mätarens tillverkningsnummer ska (S71) vara placerat synligt på framsidan av Mätenheten.,S71
456,S72 - Beständig märkning,Märkningen av Mätarens tillverkningsnummer ska (S72) vara beständigt under Mätenhetens livslängd dvs inte löstagbar tejp eller tryck som går att skrapa bort.,S72
457,S73 - Läsbar märkning,"Märkningen av Mätarens tillverkningsnummer ska (S73) vara väl läsbart
- d.v.s. fontstorleken får inte vara för liten så att numret blir svårläst t.ex. för en kund",S73
458,"S74 - Läsbar märkning, lock","Märkningen av Mätarens tillverkningsnummer ska vara väl läsbart
- d.v.s. om det finns ett lock på Mätenheten där tillverkningsnumret är placerat ska (S74) locket vara transparent så att serienumret går att avläsa även med stängt lock.",S74
459,S75 - Märkningens placering,"Mätarens tillverkningsnummer ska (S75) placeras på en ej löstagbar del (ej anslutningslock, ej lock till Kommunikationsmodul, etc.).",S75
460,S76 - Märkning som kod och i klartext,Mätenhetens tillverkningsnummer ska (S76) utgöras av både en streckkod eller motsvarande och ett nummer i klartext.,S76
461,S77 - Utformad för väggmontage,Mätenheterna ska (S77) vara utformad för väggmontage.,S77
462,S78 - Montagehängslets placering,Montagehängslets nyckelhålshöjd ska (S78) vara placerad minst 12 mm från Mätenhetens ovansida.,S78
463,S79 - Montering i mätarutrymme,Mätenheterna ska (S79) kunna monteras på olika typer av mätarutrymme med måttangivelser i enlighet med det som anges under punkt 5 i den senaste utgåvan av svensk standard SS 430 01 01.,S79
464,S80 - Plombering,Mätenhetens lock och eventuellt separat lock till Kommunikationsmodul ska (S80) kunna plomberas.,S80
465,S81 - Plintlock,Mätenheten ska (S81) ha plintlock som täcker anslutningskablaget.,S81
466,S82 - 1-fas och 3-fas mätning ska uppfylla Mätarparametrar enligt MID,"1-fas och 3-fas mätning ska (S82) uppfylla mätarparametrar enligt MID:
- Class index = B (eller bättre)
- Minimum current (Imin) = 0,25 A (eller lägre)
- Reference current (In) = 5 A
- Maximum current (Imax) = 85 A (eller högre) (inklusive brytarfunktion)",S82
467,S83 - Uppfylla kraven i Nationella Stickprovet,"Kategori 1 mätare ska (S83) uppfylla kraven i Nationella Stickprovet, enligt Föreskrift STAFS 2009:9, för de 2 första stickprovskontrollerna, dock maximalt 12 år efter att Slutgodkännande lämnats av Beställaren.",S83
468,S84 - Mätenhet ska uppfylla Mätarparametrar enligt MID,"Mätenhet ska (S84) uppfylla mätarparametrar enligt MID:
- Class index = B (eller bättre)
- Minimum current (Imin) = 0,01 A (eller lägre)
- Rated current (In) = 1 A
- Maximum current (Imax) = 6 A (eller högre)",S84
469,S85 - Dokumentation om Mätenhetens typiska påverkan,"Leverantören ska (S85) utöver typgodkännande specificera och tillhandahålla dokumentation om Mätenhetens typiska påverkan av följande influensstorheter (se SS-EN 50470-3, tabell 6):
- Temperaturkoefficient
- Voltage variation ± 10 %
- Frequency variation ± 2 %",S85
470,S86 - Hantering av både primär- och sekundärregistrering,"Mätenheterna ska (S86) kunna hantera både primär- och sekundärregistrering av Mätvärden,",S86
471,S87 - Strömtransformatorns omsättningskonstant,Mätaren ska (S87) kunna hantera strömtransformatorns omsättningskonstant.,S87
472,S88 - Kat 2 ska uppfylla kraven för kontroll,"Mätenheter Kategori 2 ska (S88) uppfylla kraven för Kontroll, enligt Föreskrift STAFS 2009:8, för den första Kontrollen, dock maximalt 12 år efter att Slutgodkännande lämnats av Beställaren.",S88
473,S89 - Mätenhet i HES,"I HES ska (S89) det finnas funktionalitet för att automatiskt och manuellt administrera:
- Installation av ny Mätenhet
- Byte av Mätenhet
- Nedtagning av Mätenhet",S89
474,S90 - Kommunikationsutrustning i HES,"I HES ska (S90) det finnas funktionalitet för att automatiskt och manuellt administrera:
- Installation av ny Kommunikationsutrustning
- Byte av Kommunikationsutrustning
- Nedtagning av Kommunikationsutrustning",S90
475,S91 - Data i HES,"HES ska (S91) minst hantera följande typer av data:
- Strukturdata (t.ex. Anläggnings-ID, Mätenhet)
- Mätvärden (Mätvärden med t.ex. ID-nummer, status, tidsstämpel)
- Händelse (Händelse med t.ex. Händelse-ID, tidpunkter, Larm)",S91
476,S92 - Register/OBIS-koder,Det ska (S92) vara möjligt från HES att välja vilka register (OBIS-koder) från Mätenheter som ska läsas ut vid momentan avläsning.,S92
477,S93 - Strukturdata i HES,En Användare ska (S93) manuellt kunna registrera strukturdata i HES.,S93
478,S94 - Automatisk insamling av Mätvärden,Mätsystemet ska (S94) kunna konfigureras för regelbunden automatisk insamling av Mätvärden från Mätenheter till HES.,S94
479,S95 - Hämtning av saknade Mätvärden,HES ska (S95) innehålla funktionalitet för automatisk och manuell hämtning av saknade Mätvärden.,S95
480,S96 - Begära mätvärden från utvalda mätare,"Det ska (S96) vara möjligt att manuellt begära in Mätvärden, både momentana och tidsperiodiska, från enstaka Mätenheter, utvalda Mätenheter eller definierad grupp av Mätenheter.",S96
481,S97 - schemalägga Jobb för mätinsamling,En Användare i HES ska (S97) kunna skapa och schemalägga Jobb för mätinsamling.,S97
482,S98 - Flera insamlingsjobb samtidigt,HES ska (S98) kunna hantera att flera insamlingsjobb körs samtidigt.,S98
483,S99 - Manuella Jobb för mätinsamling,En Användare i HES ska (S99) kunna skapa och starta manuella Jobb för mätinsamling.,S99
484,S100 - Automatisk och manuell insamling,HES ska (S100) kunna ta emot och behandla Mätvärden som insamlats på manuell begäran och ska då behandlas på samma sätt som automatiskt insamlade.,S100
485,S101 - Alla mätvärden ska märkas med status,"I HES ska (S101) alla Mätvärden märkas beträffande status för värdet. Exempel på statusmärkningar kan vara avläst värde, felaktigt värde, värde saknas, estimerat, manuellt registrerat och osäkert värde.",S101
486,S102 - Rapporter utifrån status,Sammanställning av statusmärkt data i HES ska (S102) kunna tas ut i rapporter t.ex. alla Mätvärden med en specifik status.,S102
487,S103 - Energivärdena lagras 13 mån,Energivärdena (15-minutersvärden) ska (S103) lagras minst i 13 månader i HES.,S103
488,S104 - PQ-värdena lagras 60 dygn,PQ-värdena (15-minutersvärden) ska (S104) lagras minst 60 dygn i HES.,S104
489,S105 - Kommunikationsmetadata lagras 36 mån,Kommunikationsmetadata (15-minutersvärden) ska (S105) lagras minst i 36 månader i HES,S105
490,S106 - Skapa mätserier för tidsintervall,"Det ska (S106) vara möjligt att skapa mätserier för ett valt tidsintervall enligt följande:
- Minutserie (1–15 minuter)
- Timserie
- Dygnsserie
- Månadsserie",S106
491,S107 - Positionskoordinater,I HES systemet ska (S107) det vara möjligt att lagra och presentera positionskoordinater för Mätenhet och eventuell Kommunikationsutrustning.,S107
492,S108 - Konfigurera händelser med  gränsvärden,"Det ska (S108) vara möjligt, ifrån HES, att konfigurera Händelser med olika gränsvärden på Mätenhetens register som distribueras till Mätenheterna.",S108
493,S109 - Händelse-ID till händelsetext,I HES ska (S109) Händelse-ID som skickas från Mätenheten översättas till händelsetext.,S109
494,S110 - Händelser lagras 13 mån,Samtliga Händelser ska (S110) lagras minst i 13 månader i HES.,S110
495,S111 - Exportera rapporter och data,"Framsökta mät- och strukturdata samt färdiga rapporter ska (S111) kunna exporteras till ett valfritt standardiserat textfilsformat, exempelvis csv.",S111
496,S112 - Skapa och schemalägga Jobb för mätinsamling,En Användare i HES ska (S112) kunna skapa och schemalägga Jobb för mätinsamling.,S112
497,S113 - Skapa och starta manuella exportjobb,En Användare i HES ska (S113) kunna skapa och starta manuella exportjobb.,S113
498,S114 - Importera strukturdata,"Det ska (S114) finnas funktionalitet i HES för att kunna importera strukturdata från ett valfritt standardiserat textfilsformat, exempelvis csv.",S114
499,S115 - Importera Mätdata,"Det ska (S115) finnas funktionalitet i HES för att kunna importera Mätdata från ett valfritt standardiserat textfilsformat, exempelvis csv.",S115
500,S116 - Skalning av miljö,HES ska (S116) kunna skalas så att kravställd prestanda kan bibehållas med ökade datavolymer.,S116
501,S117 - 50 samtidiga användare,HES i produktionsmiljön ska (S117) vara dimensionerad för minst 50 samtida Användare utan att Mätsystemets prestanda påverkas.,S117
502,S118- 50% fler mätpunkter och längre lagringstid,"Det ska (S118) vara möjligt att bygga ut HES för 50 % fler Mätpunkter och längre lagringstider genom enkla åtgärder som inte kräver programutveckling, utan endast t.ex. licensändring, extra diskutrymme, nya filer för databasen.",S118
503,S119- Energivärden exporteras inom 30 sek,Energivärdena (15-minutersvärden) ska (S119) kunna exporteras från HES via integrationer till annat system senast 30 sekunder efter registrering i HES,S119
504,S120 - PQ-värden exporteras inom 30 sek,PQ-värdena (15-minutersvärden) ska (S120) kunna exporteras från HES via integrationer till annat system senast 30 sekunder efter registrering i HES.,S120
505,S121 - PQ-händelser exporteras inom 1 min,PQ-händelser ska (S121) kunna exporteras från HES via integrationer till annat system senast 1 minut efter registrering i HES.,S121
506,S122 - Avbrottshändelser exporteras inom 10 sek,Avbrottshändelse ska (S122) kunna exporteras från HES via integrationer till annat system senast 10 sekunder efter registrering i HES.,S122
507,S123 - Kommunikationsmetadata exporteras inom 10 sek,Kommunikationsmetadata (15-minutersvärden) ska (S123) kunna exporteras från HES via integrationer till annat system senast 10 sekunder efter registrering i HES.,S123
508,S124 - Sammanställa statistik för mätvärden,HES ska (S124) ha funktionalitet för att sammanställa statistik över Mätvärden och visa detta grafiskt och i tabellform.,S124
509,S125 - Skapa egna rapporter,Det ska (S125) vara möjligt för Användaren att själv skapa rapporter och definiera innehåll i HES.,S125
510,S126 - Presentera mätarställning för tidpunkt,HES ska (S126) presentera en Mätarställning för en viss tidpunkt.,S126
511,S127 - Förbrukningsvärden för tidsintervall,"Det ska (S127) gå att beräkna, lagra och presentera förbrukningsvärden för olika tidsintervall. Förbrukning beräknas som skillnaden mellan Mätarställningar vid olika tidpunkter.",S127
512,S128 - Användargränssnitt enligt standard,"Användargränssnittet ska (S128) vara ändamålsenligt, effektivt och ge god tillfredsställelse i användningen, såsom definierat i den internationella standarden ISO 9241-11 eller likvärdig.",S128
513,S129 - Responsivt användargränssnitt,HES ska (S129) stödja ett responsivt användargränssnitt som gör att layouten förändras beroende på vilken skärmupplösning Användaren har.,S129
514,S130 - Dynamiska fält,Fälten i HES ska (S130) vara dynamiska och anpassade för den information som kommer att visas upp för Användaren (kopplat till krav S131),S130
515,S131 - Fältet visar alla siffror,Ex på dynamiska fält - Om fältet kan innehålla 18 positioner med siffror så ska (S131) alla siffror synas för Användaren (inga dolda delar). (kopplat till krav S130),S131
516,S132 - Formulärvyer,Det ska (S132) finnas formulärvyer för presentation och inmatning/modifiering av strukturdata.,S132
517,S133 - Formulärvyers upplägg,I formulären ska (S133) det framgå hur ingående delar i strukturen hänger samman hierarkiskt.,S133
518,S134 - Vy för mätvärden,I HES ska (S134) det finnas vyer där Mätvärden från en eller flera Mätenheter presenteras i tabellform.,S134
519,S135 - Tidsintervall för mätvärden,Det ska (S135) finnas funktionalitet för att välja olika tidsintervaller och tidsupplösning för de Mätvärden som presenteras.,S135
520,S136 - Ställa in antalet decimaler,I HES användargränssnitt ska (S136) det finnas möjlighet att ställa in vilket antal decimaler som ska visas av ett Mätvärde.,S136
521,S137 - Registrering av mätvärde,"Mätvärdet som registreras och lagras i HES ska (S137) vara oförvanskat, dvs. exakt samma värde som registrerats av Mätenheten.",S137
522,S138 - Visning av mätvärde,Samtliga Mätvärden som kan samlas in från Mätenheten ska (S138) kunna visas i HES.,S138
523,S139 - Händelser till larmlista,Händelser som konfigureras att generera Larm ska (S139) visas i en larmlista.,S139
524,S140 - Larminformation,"Varje Larm ska (S140) minst innehålla information: Händelse-ID, löpnummer, tidsstämpel, tillverkningsnummer på Mätenhet och Anläggnings-ID och anläggningsadress som också ska vara sökbara och möjliga att sortera.",S140
525,S141 - Presentation av händelser,I HES ska (S141) varje Händelse och dess ingående attributvärden (enl. kapitel 3.1.5) presenteras i en händelselista.,S141
526,S142 - Händelseinformation,"Varje Händelse ska (S142) minst innehålla information: Händelse-ID, löpnummer, tidsstämpel, tillverkningsnummer på Mätenhet och Anläggnings-ID och anläggningsadress som också ska vara sökbara och möjliga att sortera.",S142
527,S143 - loggning av händelser,Händelser i Mätsystemet ska (S143) loggas i en händelselista i HES.,S143
528,S144 - Händelselistan,Händelselistan ska (S144) minst kunna omfatta samtliga Händelser 13 månader tillbaka i tiden. Händelselistans storlek bör (B76) endast begränsas av tillgänglig lagringsyta.,S144
529,S145 - Sortering av händelser,I HES ska (S145) Händelser från Mätenheten kunna sorteras i kronologisk ordning utifrån Händelsens tidsstämpel.,S145
530,S146 - Översiktsbild för mätvärdesinsamling,Det ska (S146) finnas funktionalitet i HES för att kunna övervaka mätinsamlingen med hjälp av t.ex. en översiktsbild som visar insamlade och saknade Mätvärden vid en valbar tidpunkt.,S146
531,S147 - Visning av PQ värden,I HES ska (S147) det finnas möjlighet att analysera och visualisera PQ-värden i t.ex. grafer och staplar.,S147
532,S148 - Tidstämpel för mätvärde,Varje Mätvärde ska (S148) tidstämplas med Aktuell tid då det inkom till HES.,S148
533,S149 - Klocka i HES,"HES ska (S149) innehålla en klocka som visar Aktuell tid i timmar, minuter och sekunder.",S149
534,S150 - Presentera normaltid/aktuell tid,"Presentationer i HES på bildskärm, rapporter m.m. ska (S150) valbart kunna visas i Normaltid eller Aktuell tid.",S150
535,S151 - Kalender med aktuell tid,"HES ska (S151) innehålla en kalender som visar Aktuell tid i år, månad och dag",S151
536,S152 - Välja datum med kalenderfunktion,Där det finns behov av att välja datum i HES ska (S152) detta kunna ske genom en tid- och kalenderfunktion.,S152
537,S153 - Normaltid för mätserier,Internt i HES ska (S153) svensk Normaltid gälla för alla mätserier.,S153
538,S154 - Tid i svenskt format,"HES tid ska (S154) visas i svenskt format (HH:MM:SS, H=timme, M=minut, S=sekund)",S154
539,S155 - Kalender i svenskt format,"HES kalender ska (S155) visas i svenskt format (ÅÅÅÅ-MM-DD, Å=år, M=månad, D=dag)",S155
540,S156 - Ingen påverkan av sommar/vintertid,"Omställning mellan sommar- och vintertid ska (S156) inte ge konsekvenser beträffande t.ex. mätvärdeslagring, mätvärdespresentation, Händelse- och larmhantering i HES.",S156
541,S157 - Synkronisera tiden för enskild mätare,I HES ska (S157) det vara möjligt att manuellt synkronisera tiden för enskilda Mätenheter.,S157
