ID,Rubrik,Info & Förberedelser,Kravområde,Länkade krav,Beskrivning,Beskrivning.1,Beskrivning.2,Beskrivning.3,Beskrivning.4,Beskrivning.5,Beskrivning.6,Beskrivning.7,Beskrivning.8,Beskrivning.9,Beskrivning.10,Beskrivning.11,Beskrivning.12,Beskrivning.13,Beskrivning.14,Beskrivning.15,Beskrivning.16,Beskrivning.17,Beskrivning.18,Beskrivning.19,Beskrivning.20,Beskrivning.21,Beskrivning.22,Beskrivning.23,Beskrivning.24
11,Administration av metadata och flervalslistor,"Intention: Verifiera administratörsfunktioner för underhåll av metadata, fält, flervalslistor

Förutsättningar:  Åtkomst till 360 administration i rollen Administratör

Beroenden:",Applikationsadministration,24 - Administration av obligatoriska fält| 25 - Admininistrera metadatafält| 26 - Administration av automatgenererade metadatafält| 28 - Administration av flervalslistor| 29 - Administratrion av klassificeringsstruktur,Ändra sorteringsordning,Dölj/ta bort en  OSL-paragraf (dubbla paragrafer),,,,,,,,,,,,,,,,,,,,,,,
12,Administration av roller och behörigheter,"Intention: Verifiera adminisitrationsförmåga av access, roller och behörigheter i Diarie

Förutsättningar: 
Rollen Användaradministration

Beroenden:
N/A",Applikationsadministration,19 - Användaradministration| 21 - Styra behörigheter för roller| 72 - Begränsning i administrativa åtgärder| 212 - Rollbaserad behörighet| 215 - Behörighetsnivåer och roller kopplat till AD,360 administration - Användare - Sök upp en användare,"Klicka på användare och välj redigera och tilldela en roll, i detta testfall är rollen användaradministratör tilldelad.",Sök upp samma person och lägg ett t om datum. på rollen användardministratör. Kontrollera att användaren inte längre har åtkomst till 360 admin,Tilldela samma person rollen Administratör och kontrollera så person har åtkomst,,,,,,,,,,,,,,,,,,,,,
13,Massuppdatering av metadata och status,"Intention: Verifiera funktionalitet kring massuppdatering av metadata i ärenden och händelser

Förutsättningar: Det existerar flertalet (många) ärenden med händelser i. Roll=huvudregistrator

Beroenden:",Funktioner,181 - Massavslut av ärenden| 187 - Massuppdatering av handläggare| 198 - Massuppdatering av metadata i Diarieärende| 200 - Massuppdatering av metadata i Diariehändelse,"1. Massuppdatering av ärende:
På startsidan- Välj Meny - Ärende - Massuppdatering - Ärende",I fältet Välj ärendetyp * välj Diarieärende och klicka på Sök,Ange sökparametrar för att kunna hitta dom diarieärenden som skall massuppdateras och klicka på Sök,Bocka i dom ärenden som skall uppdateras samt klicka på Lägg till ärende,"Bocka igen i ärenden som skall uppdateras och klicka på ""Nästa:Välj fälten som ska uppdateras""","Ändra följande fält:
- Sekretess/särskilda personuppgifter = Allmän handling
- Paragraf= OSL 19kap1§
- Ärendestatus= A- Avslutat

Klicka på ""Uppdatera"" och OK","2. Massuppdatering av händelse(ärendedokument).
På startsidan- Välj Meny - Dokument - Massuppdatering - Dokument",I fältet Välj dokumentarkiv * välj Ärendedokument och klicka på Sök,"Välj flik ""Avancerad sökning"" och ange sökparametrar för att kunna hitta dom ärendedokument som skall massuppdateras och klicka på Sök","Bocka i dom ärendedokument som skall uppdateras samt klicka på ""Lägg till dokument""","Bocka igen i ärendedokument som skall uppdateras och klicka på ""Nästa:Välj fälten som ska uppdateras""","Ändra följande fält:
- Ansvarig=valfri handläggare
- Status=Makulerat
- Sekretess/särskilda personuppgifter = Allmän handling
- Paragraf= OSL 19kap1§
Klicka på ""Uppdatera"" och OK",,,,,,,,,,,,,
14,Korrigering och makulering av händelse och ärende,"Intention: Att verifiera att processen för att makulera ärende eller händelse. Dokumentkort (händelse) korrigeras och sedan makuleras. Därefter korrigeras och sedan makuleras ärendet.

Förutsättningar: Ärende och händelse måste finnas registrerat

Beroenden:",Affärsprocesser,11 - Ärendelivscykelhantering och status| 12 - Roll och användarbaserad rättighetsstyrning,Välj Redigera egenskaper under Dokumentfunktioner i ärendedokumentet.,Ändra konfidentialitetsnivå till Känslig samt ange sekretess enligt OSL och valfri paragraf . Klicka på slutför,Välj Redigera egenskaper under Dokumentfunktioner i ärendedokumentet. Ändra status till Makulerat och klicka på slutför.,Välj Redigera egenskaper under Ärendefunktioner,Ändra konfidentialitetsnivå till Känslig och ange sekretess enligt OSL och valfri paragraf samt i fältet Val för offentlig titel väljs Skriv in offentlig titel manuellt. Skriv in ny titel . Klicka på slutför,"I ärendet, välj Redigera egenskaper under Ärendefunktioner",Välj status = Makulerat och klicka på Slutför,,,,,,,,,,,,,,,,,,
15,Massuppdatering vid ny handläggare,"Intention: Uppdatera flera ärende samtidigt med ny ansvarig
Förutsättningar: Två eller fler ärenden registrerade
Beroenden:",Funktioner,187 - Massuppdatering av handläggare,Välj Meny - Ärende - Massuppdatering - Ärende,I fältet Välj ärendetyp * välj Diarieärende och klicka på Sök,Ange sökparametrar för att kunna hitta dom diarieärenden som skall massuppdateras och klicka på Sök,Bocka i dom ärenden som skall uppdateras samt klicka på Lägg till ärende,"Bocka igen i ärenden som skall uppdateras och klicka på ""Nästa:Välj fälten som ska uppdateras""","I fältet Ansvarig anges ny ansvarig. Klicka på ""Uppdatera"" och OK",,,,,,,,,,,,,,,,,,,
16,Avsluta ärende,"Intention: Handläggare har avslutat ärende som hamnar i kvalitetskontroll varefter registrator kontrollerar och avslutar

Förutsättningar: Ärende registrerat inklusive händelse av handläggare

Beroenden: Inloggad med rollen huvudregistrator",Affärsprocesser,12 - Roll och användarbaserad rättighetsstyrning,Välj Ärenden avslutade av handläggare,Välj ett ärende i lista Avslutat av handläggare,Välj sätt status,Ändra status till Avslutat,,,,,,,,,,,,,,,,,,,,,
17,Medhandläggare läggs till,"Intention: Fler än ansvarig på ärendet läggs till som medhandläggare vid redigering av ärendet
Förutsättningar: Registrerat ärende
Beroenden:",Funktioner,117 - Medansvarig i ärende,"I ärendet, välj ärendefunktioner sedan redigera egenskaper",Välj Interna kontakter och därefter Lägg till existerande kontakt och välj medhandläggare,Söknamn efter kontakt och kryssa i vald ruta för kontakt,Klicka på Lägg till kontakt,Välj slutför,,,,,,,,,,,,,,,,,,,,
18,Handläggare registrerar,"Intention: Handläggare registrerar svar på inkommande handling, markerar dokumentkort som färdigt samt avslutar ärende

Förutsättningar: 
- Ärende inklusive inkommen händelse registrerad. 
- Roll=handläggare

Beroenden:",Affärsprocesser,88 - Dokumentstatus,Öppna den registrerade inkomna händelsen(dokumentkortet),"Klicka på knappen ""Besvara"" och välj ""Med dokument""","Lägg till något på titeln, tex ""svar"", lägg till valfri fil i fliken ""Filer"" och klicka på slutför","Klicka på knappen ""Färdigställ/expediera"" och ""Ok""","I fältet ""Detaljer"" klickar man på den blå ärendetiteln","Klicka på knappen ""Sätt status"",","Välj ""Avslutat från handläggare"" och ""OK""",,,,,,,,,,,,,,,,,,
19,Skapa diarieärende,"Intention: Skapa nytt diarieärende
Förutsättningar: Huvudregistrator
Beroenden: Huvudregistrator",Affärsprocesser,35 - Notifieringstrigger,Skapa nytt ärende,Välj Konfidentialitetsnivå,Välj sekretess/särskilda personuppgifter,Välj åtkomstgrupp,Skriv in ärendets titel,Välj ansvarig handläggare,Välj status,Välj diarieenhet 10 Göteborg Energi AB,Välj delarkiv,Välj klassificeringskod,Välj ärendepart (avsändare/externa kontakter),Slutför ärendet,,,,,,,,,,,,,
20,Skapa händelse(dokumentkort),"Intention: Skapa ny händelse (dokumentkort) i befintligt ärende och bifoga fil
Förutsättningar: Registrerat ärende
Beroenden:",Affärsprocesser,99 - Metadatafält,Välj nytt ärendedokument,Välj riktning,Välj dokumentkategori,Välj konfidentialitetsnivå,Välj sekretess/särskilda personuppgifter,Välj åtkomstgrupp,Skriv in handlingens titel,Välj mottagare,Välj dokumentdatum,Välj handläggare,Välj status,"Välj kontakt (avsändare), under fliken kontakter","Välj bifoga fil, under fliken filer",Välj slutför och avsluta registreringen,Dra in fil från utforskaren till fältet Filer,,,,,,,,,,
21,Skapa händelse utifrån e-post i outlook,"Intention: Skapa ett nytt dokumentkort (händelse) och bifoga mail från oulook via sidopanel

Förutsättningar: Registrerat ärende. Tillgång till sidopanel i Outlook = produktionsmiljö

Beroenden:",,167 - Diarieföra relaterade e-postmeddelanden direkt från e-postklient| 267 - Mailintegration,1. I befintligt ärende skapas ett nytt inkommande ärendedokument.,"I Outlook öppnar man sidopanelen och söker upp aktuellt ärendedokument antingen genom sökrutan eller via Sök och arkivera, dubbelklicka på ärendedokumentet så det kommer upp i den blå rutan.",Klicka på valfritt e-postmeddelande inklusive bilaga och dra och släpp det i den blå rutan i sidopanelen,2. Skapa ny händelse via sidopanelen. I Outlook öppnar man sidopanelen och söker upp aktuellt ärende antingen genom sökrutan eller via Sök och arkivera.,Klicka på valfritt e-postmeddelande inklusive bilaga och dra och släpp det i rutan för det aktuella ärendet i sidopanelen,"Fyll i obligatoriska fält och klicka på ""Slutför""",,,,,,,,,,,,,,,,,,,
22,Skapa uppgift för handläggare att utföra,"Intention: Uppgift skapas inklusive bevakningsdatum då det skall vara färdigställt
Förutsättningar: 
- Registrerat ärende inklusive inkommen handling
- Flera handläggare som uppgiften skall läggas på
- Roll=handläggare
Beroenden:",Affärsprocesser,,"I aktuellt ärendedokument klickar man på knappen ""Mera"" längst till höger och väljer Aktiviteter","Klicka på ""Ny aktivitet"" och välj Uppgift","Ange följande:
- Titel tex ""besvara""
- Bevakningsdatum
- Status
- Ansvarig 
- Kontakt
Klicka på Slutför samt Stäng","Gå till startsidan och klicka på Inkommande och expandera fältet Uppgift och markera ""Min avdelnings uppgifter""",,,,,,,,,,,,,,,,,,,,,
23,Besvara inkommen händelse med e-post,"Intention: Initiera e-post från händelse som ett svar på inkommen fråga samt registrering av händelsen
Förutsättningar: Registrerat ärende inklusive inkommen händelse(dokumentkort) med fil. Koppling mellan P360 och Outlook
Beroenden:",Affärsprocesser,270 - Utgående mail från Diarie,I aktuellt ärendedokument klicka på knappen Besvara och därefter Med e-post,"Fyll i mottagare, titel samt innehåll och skicka mail",Fyll obligatoriska uppgifter samt klicka på Slutför,Kontrollera att mailet skickats till angiven mottagare,,,,,,,,,,,,,,,,,,,,,
24,Notifieringstrigger och adressering,"Intention: Att verifiera trigger för notifieringar går att anpassa och att de fungerar som tänkt och bl.a. kan ställas in att trigga notifieringar när nytt diarieärende och ny diariehändelse skapas eller tilldelas handläggare samt att notifiering adresseras de som ska.

Förutsättningar: Roller är tilldelade användare och att det finns kontaktinformation dit notifiering ska skickas

Beroenden: Integrationer till meddelandetjänst, M365, Outlook....",Funktioner,35 - Notifieringstrigger| 36 - Notifieringstrigger,"Roll=huvudregistrator.
Meny->Skapa diarieärende",Fyll i all obligatorisk data och ange ansvarig samt medhandläggare som skall kontrollera att notifiering skickats. Klicka på slutför,Klicka på länken i notifieringen,"Roll=huvudregistrator.
Skapa ett nytt ärendedokument i ärendet",Klicka på länken i notifieringen,"Roll=aktuell handläggare
Skapa ett nytt ärendedokument i ärendet",,,,,,,,,,,,,,,,,,,
25,Gallring av filer,"Intention: Verifiering av funktionalitet kring gallring; Schemaläggning, manuell, utförande av enstaka eller i bulk samt kontroll på effekt av gallring

Förutsättningar: tre gallringsbara testfiler med valfria egenskaper skapade i två testärenden/-händelser, tio gallringsbara testärenden med gallringsfrist som kommer förfalla följande dag skapade i valfritt antal testärenden/-händelser som även innehåller andra filer, tillgång för att söka efter filer direkt i lösningens databas

Beroenden:",Funktioner,124 - Stöd för gallring av filer| 125 - Massgallring| 126 - Automatiserad gallringsprocess| 127 - Kontrollsteg för start av gallring| 128 - Gallrad information permanent raderad,Anta rollen som handläggare och försök initiera gallring.,Anta rollen som huvudregistrator och initiera gallring.,Markera de tre gallringsbara testfilerna för gallring och exekvera gallringen.,Verifiera att filerna inte kan sökas fram i gränssnittet eller direkt i databasen.,Skapa en schemalagd rutin för gallring av de tio testfilerna med gallringsfrist.,Vänta till dess att fristen förfallit och generera en urvalslista för gallring.,Markera samtliga filer för gallring och avsluta sessionen utan att exekvera.,Påbörja en ny session och sök efter de markerade filerna.,Gå in i gallringsfunktionen igen och markera sju av de tio filerna. Exekvera gallring.,"Verifiera att de sju filerna som markerades har gallrats, men att övriga filer i de berörda ärendena och händelserna finns kvar.",Exportera rapporten över vad som gallrats till Excel.,Begär demonstration av Tieto som visar att de gallrade filerna tagits bort från sin lagringsplats i lösningen och att de inte kan återskapas.,,,,,,,,,,,,,
26,Sökning i Diarie från M365,"Intention: Verifiera integration mellan M365 och Diarie i avseende sökningsförmåga från M365.

Förutsättningar: Integration är uppsatt och gränssnitt eller applikation är anpassad för att visa information från Diarie.

Beroenden:",Integration,265 - Sökning mot diarieposter från M365,,,,,,,,,,,,,,,,,,,,,,,,,
27,Bifoga filer i registerposter,"Intention: Verifiera att filer går att bifoga och att det finns flera olika fungerande metoder för att göra det.

Förutsättningar: Registrerat ärende

Beroenden:",Funktioner,165 - Import av filer| 166 - Dra och släppa för att bifoga filer| 168 - Import av multipla filer,"Öppna aktuellt ärende och välj ""Nytt dokument"" - Dokument - Ärendedokument","Klicka på fliken ""Filer"" och därefter på ""Välj eller dra filer hit"", välj fil och klicka på ""Öppna""","Gå tillbaka till fliken ""Generellt"" och färdigställ formuläret (utgående handling) och klicka på ""Slutför""","Öppna aktuellt ärendedokument och använd ""Dra och släpp"" en annan fil i angivet fält","Klicka på ""Välj eller dra filer hit"". Välj två eller flera filer och klicka på ""Öppna""",,,,,,,,,,,,,,,,,,,,
