ID,Rubrik,Beskrivning
101,S560 - Krav vid leverans och installation i produktionsmiljönmiljön,"Leverantören ska (S560) vid installation och driftsättning av Mätsystemet i Beställarens produktionsmiljö: 
-installera, -eventuellt konfigurera/parametersätta, -eventuellt migrera strukturdata, -driftsätta, -verifiera och testa Mätsystemet inklusive integrationer i produktionsmiljön, samt -genomföra felrättningar och omtester."
102,S561 - Support under Produktionstest,Leverantören ska (S561) närvara hos Beställaren och vara behjälplig då Beställarens genomför produktionstest.
103,S562 - Fel i produktionsmiljön,Om utfallet av produktionstestet utvisar att någon del av Mätsystemet inte är riktigt driftsatt eller i övrigt inte fungerar som avtalat ska (S562) Leverantören så snart som möjligt vidta sådana åtgärder som erfordras för att den felande delen ska (S563) fungera i produktionsmiljön.
104,S563 - Åtgärd vid fel i produktionsmiljön,Om utfallet av produktionstestet utvisar att någon del av Mätsystemet inte är riktigt driftsatt eller i övrigt inte fungerar som avtalat ska (S562) Leverantören så snart som möjligt vidta sådana åtgärder som erfordras för att den felande delen ska (S563) fungera i produktionsmiljön.
105,S564 - Pilot,"Leverantören ska (S564) efter Beställarens godkända produktionstest genomföra en Pilot inkluderande provdrift i produktionsmiljö, enligt Bilaga B.3 Leverans- och Införandeavtal."
106,S565 - Funktion under pilot,Mätsystemet ska (S565) fungera operativt i Beställarens IT-tekniska miljö utan väsentliga driftstörningar under provdriften.
107,S566 - Längd på pilot,Provdriften ska (S566) pågå i 4 veckor.
108,S567 - Avbrytande av testfas,"Om Lösningen, eller del därav vid test eller provdrift, enligt Beställarens sakliga bedömning, baserat på testfall/testprocess, uppvisar sådana brister att testen eller provdriften inte kan fullföljas med tillfredsställande kvalitet, kan Beställaren kräva att testen eller provdriften avbryts. Leverantören ska (S567) då åtgärda bristerna innan testen eller provdriften återupptas."
109,S568 - Modifieringar i databas,"Leverantören ska (S568) tillåta att Beställaren har rätt att utföra ändringar i databaser, lägga in nya objekt, definiera ny hårdvara med kommunikation etc., under förutsättning att detta sker enligt av Leverantören lämnade anvisningar skriftligt eller via e-post."
110,S569 - Rätt till ny pilot,Vid en av Leverantören avbruten Provdrift ska (S569) Beställaren vara berättigad till en ny fullständig Provdrift.
111,S570 - Modifieringar under pilot,Modifiering av Mätsystemet under pågående Provdrift ska (S570) endast få ske efter särskild överenskommelse mellan Beställaren och Leverantör.
112,B501 - Iterativt arbetssätt,"Beställaren förordar att implementation och installation av Mätsystemet, om möjligt och lämpligt, ska (B501) ske på ett iterativt sätt av Leverantören. Med detta menas att Mätsystemet levereras, installeras och testas i ett mindre antal delleveranser."
113,B502 - Integrationstest under FAT,"Leverantören ska (B502), om möjligt, under FAT även genomföra systemintegrationstest (SIT – System Integration Test) där gränssnitten mellan Leverantörens Mätsystem och Beställarens system och integrationsplattform testas."
141,S89 - Mätenhet i HES,"Verifiera att det går att installera ny Mätenhet - Kat 1, 1 fas. Verifiera att det går att installera ny Mätenhet - Kat 1, 3 fas. Verifiera att det går att installera ny Mätenhet - Kat 2. Byt mätare av typ Kat 1, 1 fas. Byt mätare av typ Kat 1, 3 fas. Byt mätare av typ Kat 2. Ta ner mätare av typ Kat 1, 1 fas. Ta ner mätare av typ Kat 1, 3 fas. Ta ner mätare av typ Kat 2."
142,S90 - Kommunikationsutrustning i HES,I köpt lösning ingår kommunikationsutrustningen som en del av mätaren. Det byts inte separat.
143,S91 - Data i HES,"Verifiera att strukturdata kan hanteras i HES. (t.ex. Anläggnings-ID, Mätenhet). Verifiera att Mätvärden kan hanteras i HES (Mätvärden med t.ex. ID-nummer, status, tidsstämpel). Verifiera att Händelser kan hanteras i HES (Händelse med t.ex. Händelse-ID, tidpunkter, Larm)."
144,S92 - Register/OBIS-koder,Verifiera att det finns olika profiler att välja på som styr vilka OBIS koder som läses in till HES. Byt profil i HES.
145,S93 - Strukturdata i HES,Verifiera att det går att manuellt registrera strukturdata i HES.
147,S95 - Hämtning av saknade Mätvärden,Verifiera att saknade mätvärden skickas automatiskt till HES. Verifiera att saknade mätvärden kan hämtas manuellt till HES.
148,S95 - Hämtning av saknade Mätvärden,Verifiera att saknade mätvärden automatiskt skickas till HES av mätaren. Verifiera att saknade mätvärden manuellt kan hämtas från mätaren.
149,S94 - Automatisk insamling av Mätvärden,Verifiera att mätsystemet kan konfigureras för regelbunden automatisk insamling av Mätvärden från Mätenheter till HES.
150,S96 - Begära mätvärden från utvalda mätare,Verifiera att det är möjligt att manuellt begära in momentana  mätvärden från enstaka mätenheter. Verifiera att det är möjligt att manuellt begära in tidsperiodiska mätvärden från enstaka mätenheter. Verifiera att det är möjligt att manuellt begära in momentana  mätvärden från utvalda mätenheter. Verifiera att det är möjligt att manuellt begära in tidsperiodiska mätvärden från utvalda mätenheter. Verifiera att det är möjligt att manuellt begära in momentana  mätvärden fråndefinierad grupp av mätenheter. Verifiera att det är möjligt att manuellt begära in tidsperiodiska mätvärden fråndefinierad grupp av mätenheter.
151,S97 - schemalägga Jobb för mätinsamling,Leverantörens svar på kravet under upphandlingen: Systemet är baserat på push av data. Därför skickar alla OMNIA e-meter automatiskt värden in till HES. Det behövs därför inga planerade jobb för insamling av data. Önskas andra data än de automatiskt inhämtade registren finns det funktionalitet i den erbjudna HES-lösningen för upprättande och planering av sådana jobb.
152,S98 - Flera insamlingsjobb samtidigt,Verifiera att två manuella hämtningar kan genomföras samtidigt.
153,S99 - Manuella Jobb för mätinsamling,Verifiera att en användare i HES kan skapa och starta manuella Jobb för mätinsamling.
154,B55 - turordningen för olika sätt att samla in Mätvärden,"Leverantörens svar från upphandlingen:
Differentiering av pushintervall och starttidpunkt kan användas. Då data skickas in via push-teknik styr mätarna själva ordningsföljden på datasändningen utifrån en randomiseringsalgoritm."
155,B56 - Insamling i olika tidsintervall,"Leverantörens svar från upphandlingen:
Differentiering av pushintervall och starttidpunkt kan användas. Då data skickas in via push-teknik styr mätarna själva ordningsföljden på datasändningen utifrån en randomiseringsalgoritm."
156,B57 - Repetera kommunikationsförsök,"Leverantörens svar från upphandlingen:
Data skickas till HES via PUSH-teknik. Därför kommer OMNIA e-meter att försöka att skicka data tills det lyckas. På så vis löser tekniken behovet av detta krav."
157,B58 - Konfigurerara kommunikationsförsök,"Leverantörens svar från upphandlingen:
Data skickas till HES via PUSH-teknik. Därför kommer OMNIA e-meter att försöka att skicka data tills det lyckas. På så vis löser tekniken behovet av detta krav."
158,S100 - Behandling av manuellt insamlade mätvärden,Verifiera att HES kan ta emot och behandla Mätvärden som insamlats på manuell begäran. Verifiera att manuellt insamlade mätvärden behandlas på samma sätt som automatiskt insamlade.
159,S101 - Alla mätvärden ska märkas med status,Verifiera att alla mätvärden märks med status för värdet.
160,"S6 - Last Gasp, Kat1, 1 fas","Verifiera att mätare Kat 1, 1 fas har  ""Last Gasp"" funktionalitet. Verifiera att HES kan presentera att det finns ett  ""Last Gasp"" - det som finns i mätarens logg hamnar i HES."
162,"S44 - Energivärden lagras 40 dygn Kat1, 3 fas","Verifiera att Energivärdena (15-minutersvärden)  lagras minst i 40 dygn i Mätenheterna av typ Kat 1, 3 fas."
163,"S45 - PQ värden lagras 7 dygn, Kat1 - 3 fas",Verifiera att PQ-värdena lagras minst i 7 dygn i Mätenheterna av typ Kat 1 3 fas.
164,"S46 - Avbrottshändelser lagras 40 dygn, Kat1 - 3 fas","Verifiera att Avbrottshändelse lagras minst i 40 dygn i Mätenheterna av typ Kat 1, 3 fas."
165,"S47 - PQ händelser lagras 40 dygn, Kat1 - 3 fas","Verifiera att PQ-händelser ska lagras minst i 40 dygn i Mätenheterna av typ Kat 1, 3 fas."
166,"S48 - Övriga händelser lagras 40 dygn, Kat1 - 3 fas","Verifiera att Övriga Händelser lagras minst i 40 dygn i Mätenheterna av typen Kat 1, 3 fas."
167,"S49 - Registrera tid i Normaltid, Kat1 - 3 fas","Verifiera att Mätenheterna registrerar tid i Normaltid (UTC+1) i mätare av Kat 1, 3 fas."
168,S50 - Högst avvika med 7 sek,"Verifiera mätenhetens tid för minst 10 mätare, innan sync med HES genomförs. Verifiera mätenheternas tid efter sync med HES genomförs."
169,"S6 - Last Gasp, Kat1, 3 fas","Verifiera att mätare Kat 1, 3 fas har  ""Last Gasp"" funktionalitet. Verifiera att HES kan presentera att det finns ett  ""Last Gasp"" - det som finns i mätarens logg hamnar i HES."
170,"S6 - Last Gasp, Kat2","Verifiera att mätare Kat 2 har  ""Last Gasp"" funktionalitet. Verifiera att HES kan presentera att det finns ett  ""Last Gasp"" - det som finns i mätarens logg hamnar i HES."
171,S44 - Energivärden lagras 40 dygn Kat2,Verifiera att Energivärdena (15-minutersvärden)  lagras minst i 40 dygn i Mätenheterna av typ Kat 2.
172,"S45 - PQ värden lagras 7 dygn, Kat2",Verifiera att PQ-värdena lagras minst i 7 dygn i Mätenheterna av typ Kat 2.
173,"S46 - Avbrottshändelser lagras 40 dygn, Kat2",Verifiera att Avbrottshändelse lagras minst i 40 dygn i Mätenheterna av typ Kat 2.
174,"S47 - PQ händelser lagras 40 dygn, Kat2",Verifiera att PQ-händelser ska lagras minst i 40 dygn i Mätenheterna av typ Kat 2.
175,"S48 - Övriga händelser lagras 40 dygn, Kat2",Verifiera att Övriga Händelser lagras minst i 40 dygn i Mätenheterna av typen Kat 2.
176,"S49 - Registrera tid i Normaltid, Kat2",Verifiera att Mätenheterna registrerar tid i Normaltid (UTC+1) i mätare av Kat 2.
177,S102 - Rapporter utifrån status,Verifiera att status kommer med för mätvärden i de rapporter vi genererar.
178,S103 - Energivärdena lagras 13 mån,Lägg in ett gammalt värde i HES (äldre än 13 månader. Verifiera att värdet tas bort automatiskt.
179,S104 - PQ-värdena lagras 60 dygn,Lägg in ett gammalt PQ värde i HES. Verifiera värdet ligger kvar > 60 dygn senare.
180,S105 - Kommunikationsmetadata lagras 36 mån,Lägg in ett gammalt värde. Verifiera att det finns kvar i upp till 36 månader senare.
181,B59 - Lagring av Mätvärden i HES,"För mätvärden, verifiera att lagring av data kan göras med följande tidsintervall:
- Minutvärden (1–15 minuter)
- Timvärden
- Dygnsvärden
- Månadsvärden."
182,S106 - Skapa mätserier för tidsintervall,"Verifiera att det är möjligt att skapa mätserier för ett valt tidsintervall för:
- Minutserie (1–15 minuter). Verifiera att det är möjligt att skapa mätserier för ett valt tidsintervall för:
- Timserie. Verifiera att det är möjligt att skapa mätserier för ett valt tidsintervall för:
- Dygnsserie. Verifiera att det är möjligt att skapa mätserier för ett valt tidsintervall för:
- Månadsserie."
183,S107 - Positionskoordinater,Verifiera att det i HES går att lagra och presentera positionskoordinater för Mätenhet.
184,S108 - Konfigurera händelser med  gränsvärden,"Verifiera att det är möjligt att från HES konfigurera Händelser för olika gränsvärden i Mätenhetens register. Den nya konfigurationen ska kunna distribueras till Mätenheterna. Ändra konfigaration för två olika parametrar - t ex temperatur, och skicka till mätenheten."
185,S109 - Händelse-ID till händelsetext,Verifiera att händelse-ID presenteras som en läsbar text/förklaring för användaren i HES.
186,S110 - Händelser lagras 13 mån,Be Kamstrup visa hur systemet konfigurerats för att lagra händelser i minst 13 månader.
187,B60 -  sätta turordningen för olika exporter,Användare ska (B60) ha möjlighet att sätta turordningen för olika exporter från HES. Detta gäller både manuella och schemalagda exporter.
188,S111 - Exportera rapporter och data,"Verifiera att framsökta mät- och strukturdata samt färdiga rapporter kan exporteras till ett valfritt standardiserat textfilsformat, exempelvis csv."
189,S112 - Skapa och schemalägga Jobb för mätinsamling,Verifiera att en Användare i HES kan skapa och schemalägga insamlingsjobb.
190,S113 - Skapa och starta manuella exportjobb,Verifiera att en Användare i HES kan skapa och starta manuella exportjobb.
191,S114 - Importera strukturdata,"Verifiera att det i HES går att importera strukturdata från ett valfritt standardiserat textfilsformat, exempelvis csv."
192,S115 - Importera Mätdata,"Verifiera att det finnas funktionalitet i HES för att kunna importera Mätdata från ett valfritt standardiserat textfilsformat, exempelvis csv."
193,S119- Energivärden exporteras inom 30 sek,
194,B62 - Energivärden till annat system inom 10 sek,Verifiera att engergivärdena levereras från HES enligt överenskommet exportintervall.
195,S120 - PQ-värden exporteras inom 30 sek,
196,B63 - PQ-värden till annat system inom 10 sek,
