ID,GE_KravID,Rubrik,Beskrivning
71,,Grid snapshot - Standardvärden,Provocera fram en överspänning på en av mätarens faser och verifiera att händelser skickas momentant till HES. Verifiera att korrekt register (OBIS-koder) tillsammans med händelsen. Verifiera att det i Optiskt öga går att se grid snapshot för händelsen felaktig effektriktning. Verifiera att det i Optiskt öga går att se grid snapshot för händelsen spänningshöjning.
73,,Korrekt kommunikation,Granska lösningsdokumentation och verifiera att standard efterföljs.
74,,Dokumentation av interna gränssnitt,Granska lösningsbeskrivningen.
75,,Rutin för säkerhetsuppdateringar,Granska processer för säkerhetsuppdateringar.
76,,Skydd i djupled,Granska OMNIA flex dokumentationen.
77,,Ny nyckel/lösenord,Exporta nyckel för mätaren från KMS. Koppla upp mot mätaren med den exporterade nyckeln med MeterTool. Byt nyckel för mätaren i KMS. Exportera nycklar för mätaren igen från KMS. Koppla upp mot mätaren med MeterTool igen med de gamla kryptonycklarna. Importera nya nycklarna i MeterTool. Koppla upp mot mätaren med MeterTool igen med de nya kryptonycklarna.
78,,Beroenden mot andra system,Stäng exempelvis av kopplingen mellan Collection Manager och OMNIA Flex.
79,,Katalogtjänst för behörighetsstyrning,Logga in med ett aktivt AD konto. Byt behörighet på en användare genom ACM. Logga in med den användaren.
80,,Sign on-inloggning,Gå till ACMs URL.
81,,Ta fram testplan,Leverantören ansvarar för att vid projektstart ta fram en detaljerad testplan som granskas av Beställaren. Utifrån synpunkter som framkommer vid Beställarens granskning ska (S539) Leverantören komplettera testplanen.
81,,Ta fram testplan,Leverantören ansvarar för att vid projektstart ta fram en detaljerad testplan som granskas av Beställaren. Utifrån synpunkter som framkommer vid Beställarens granskning ska (S539) Leverantören komplettera testplanen.
82,,Testplans innehåll,"Testplanen ska (S541) minst innehålla: 
-Beskrivning av testprocessen enligt innehåll i figur 1 i punkt 3.2, d.v.s. beskrivning av testplanering, förberedelser, genomförande och avslut av test. 
-En beskrivning som steg för steg ger instruktion för genomförande och underlag för utvärdering av testresultat. 
-Beskrivning, bedömning och beslut kring åtgärder av rapporterade fel samt deras allvarlighetsgrad."
83,,Uppdatering av testplan,Leverantören ska (S542) kontinuerligt uppdatera testplanen med de överenskomna förändringar som sker.
84,,Ta fram testfall,"Leverantören ska (S543) utarbeta testfall baserade på avtalade krav, d.v.s. avtalad Specifikation såvida ej annat avtalats."
85,,Testfalls innehåll,Varje testfall ska (S544) innehålla en detaljerad instruktion för genomförande och underlag för utvärdering av testresultat för berörd funktion.
86,,Testverktyg,Leverantören ska (S545) använda ett av Beställaren anvisat verktyg för att följa Beställarens rapportering av testresultat. Leverantören ansvarar för att i verktyget registrera sin återkoppling och status på Beställarens rapporterade fel och synpunkter. Beställaren använder idag ReQtest i felhanteringsprocessen.
87,,Beställarens testfall,Beställaren ska(S546) ha rätt att utarbeta egna och nya testfall baserade på Specifikation. Nya testfall kan skapas fram till Slutgodkännande av Leveransprojektet.
88,,Utförande av testfall,"Leverantörer ska (S547) ha möjlighet i de fall det bedöms lämpligt enligt överenskommelse med Beställaren, överlåta till Beställaren att utföra vissa testfall i punkt 3.2.5."
89,,Testrapport,"Leverantören ska (S548) upprätta en testrapport för de testfaser som Leverantören ansvarar för under Leveransprojektet, enligt figur 1 i punkt 3.2."
90,,Testrapports innehåll,"Testrapporten ska (S549) minst innehålla: 
-Testfall som körts -Resultat av testerna -Ev. kvarstående fel -Ev. kvarstående testfall -Förslag på åtgärder."
91,,Godkännande av testrapport,Leverantören ska (S550) överlämna testrapporten till Beställaren för kontroll och godkännande.
92,,Godkännande som startkriterie,Efterföljande test enligt figur 1 under punkt 3.2 ska (S551) ej påbörjas utan att testrapporten från föregående testfas är godkänd av Beställaren.
93,,Krav på FAT,Leverantören ska (S552) före leverans av Mätsystemet genomföra en systemtest/FAT (FAT – Factory Acceptance Test) hos Leverantören.
94,,Deltagande på FAT,Leverantören ska (S553) bereda Beställaren eller dennes representant(er) möjlighet att medverka som observatör vid genomförandet av FAT.
95,,Redovisa förändringar efter FAT,"Modifieringar av Mätsystemet utförda mellan FAT och installation hos Beställaren ska (S554) redovisas av Leverantören,."
96,,Omtest efter modifieringar,Leverantören ska även (S555) redovisa möjliga konsekvenser och påverkan på andra funktioner från gjorda modifieringar. Beställaren har rätt att kräva upprepning av de tester som gjorts i FAT om sådana modifieringar utförs.
97,,Krav vid leverans och installation i testmiljön,"Leverantören ska (S556) vid leverans och installation av Mätsystemet i Beställarens testmiljö: 
-installera, -konfigurera/parametersätta, -eventuellt migrera strukturdata, -genomföra test med liknande omfattning som FAT samt inkluderat systemintegrationstest (SIT), samt -genomföra felrättningar och omtester."
98,,Omfattning UAT,Beställarens UAT (User Acceptance Test) ska (S557) omfatta test och verifiering av samtliga krav enligt Specifikationen om inte annat överenskommes.
99,,Utbildning inför UAT,Leverantören ska (S558) genomföra nödvändig utbildning samt överlämna relevant dokumentation enligt punkt 5 innan Beställarens UAT påbörjas.
100,,Support under UAT,Leverantören ska (S559) närvara hos Beställaren och vara behjälplig då Beställaren genomför UAT.
101,,Krav vid leverans och installation i produktionsmiljönmiljön,"Leverantören ska (S560) vid installation och driftsättning av Mätsystemet i Beställarens produktionsmiljö: 
-installera, -eventuellt konfigurera/parametersätta, -eventuellt migrera strukturdata, -driftsätta, -verifiera och testa Mätsystemet inklusive integrationer i produktionsmiljön, samt -genomföra felrättningar och omtester."
102,,Support under Produktionstest,Leverantören ska (S561) närvara hos Beställaren och vara behjälplig då Beställarens genomför produktionstest.
103,,Fel i produktionsmiljön,Om utfallet av produktionstestet utvisar att någon del av Mätsystemet inte är riktigt driftsatt eller i övrigt inte fungerar som avtalat ska (S562) Leverantören så snart som möjligt vidta sådana åtgärder som erfordras för att den felande delen ska (S563) fungera i produktionsmiljön.
104,,Åtgärd vid fel i produktionsmiljön,Om utfallet av produktionstestet utvisar att någon del av Mätsystemet inte är riktigt driftsatt eller i övrigt inte fungerar som avtalat ska (S562) Leverantören så snart som möjligt vidta sådana åtgärder som erfordras för att den felande delen ska (S563) fungera i produktionsmiljön.
105,,Pilot,"Leverantören ska (S564) efter Beställarens godkända produktionstest genomföra en Pilot inkluderande provdrift i produktionsmiljö, enligt Bilaga B.3 Leverans- och Införandeavtal."
106,,Funktion under pilot,Mätsystemet ska (S565) fungera operativt i Beställarens IT-tekniska miljö utan väsentliga driftstörningar under provdriften.
107,,Längd på pilot,Provdriften ska (S566) pågå i 4 veckor.
108,,Avbrytande av testfas,"Om Lösningen, eller del därav vid test eller provdrift, enligt Beställarens sakliga bedömning, baserat på testfall/testprocess, uppvisar sådana brister att testen eller provdriften inte kan fullföljas med tillfredsställande kvalitet, kan Beställaren kräva att testen eller provdriften avbryts. Leverantören ska (S567) då åtgärda bristerna innan testen eller provdriften återupptas."
109,,Modifieringar i databas,"Leverantören ska (S568) tillåta att Beställaren har rätt att utföra ändringar i databaser, lägga in nya objekt, definiera ny hårdvara med kommunikation etc., under förutsättning att detta sker enligt av Leverantören lämnade anvisningar skriftligt eller via e-post."
110,,Rätt till ny pilot,Vid en av Leverantören avbruten Provdrift ska (S569) Beställaren vara berättigad till en ny fullständig Provdrift.
111,,Modifieringar under pilot,Modifiering av Mätsystemet under pågående Provdrift ska (S570) endast få ske efter särskild överenskommelse mellan Beställaren och Leverantör.
112,,Iterativt arbetssätt,"Beställaren förordar att implementation och installation av Mätsystemet, om möjligt och lämpligt, ska (B501) ske på ett iterativt sätt av Leverantören. Med detta menas att Mätsystemet levereras, installeras och testas i ett mindre antal delleveranser."
113,,Integrationstest under FAT,"Leverantören ska (B502), om möjligt, under FAT även genomföra systemintegrationstest (SIT – System Integration Test) där gränssnitten mellan Leverantörens Mätsystem och Beställarens system och integrationsplattform testas."
141,,Mätenhet i HES,"Verifiera att det går att installera ny Mätenhet - Kat 1, 1 fas. Verifiera att det går att installera ny Mätenhet - Kat 1, 3 fas. Verifiera att det går att installera ny Mätenhet - Kat 2. Byt mätare av typ Kat 1, 1 fas. Byt mätare av typ Kat 1, 3 fas. Byt mätare av typ Kat 2. Ta ner mätare av typ Kat 1, 1 fas. Ta ner mätare av typ Kat 1, 3 fas. Ta ner mätare av typ Kat 2."
142,,Kommunikationsutrustning i HES,I köpt lösning ingår kommunikationsutrustningen som en del av mätaren. Det byts inte separat.
143,,Data i HES,"Verifiera att strukturdata kan hanteras i HES. (t.ex. Anläggnings-ID, Mätenhet). Verifiera att Mätvärden kan hanteras i HES (Mätvärden med t.ex. ID-nummer, status, tidsstämpel). Verifiera att Händelser kan hanteras i HES (Händelse med t.ex. Händelse-ID, tidpunkter, Larm)."
144,,Register/OBIS-koder,Verifiera att det finns olika profiler att välja på som styr vilka OBIS koder som läses in till HES. Byt profil i HES.
145,,Strukturdata i HES,Verifiera att det går att manuellt registrera strukturdata i HES.
147,,Hämtning av saknade Mätvärden,Verifiera att saknade mätvärden skickas automatiskt till HES. Verifiera att saknade mätvärden kan hämtas manuellt till HES.
148,,Hämtning av saknade Mätvärden,Verifiera att saknade mätvärden automatiskt skickas till HES av mätaren. Verifiera att saknade mätvärden manuellt kan hämtas från mätaren.
149,,Automatisk insamling av Mätvärden,Verifiera att mätsystemet kan konfigureras för regelbunden automatisk insamling av Mätvärden från Mätenheter till HES.
150,,Begära mätvärden från utvalda mätare,Verifiera att det är möjligt att manuellt begära in momentana  mätvärden från enstaka mätenheter. Verifiera att det är möjligt att manuellt begära in tidsperiodiska mätvärden från enstaka mätenheter. Verifiera att det är möjligt att manuellt begära in momentana  mätvärden från utvalda mätenheter. Verifiera att det är möjligt att manuellt begära in tidsperiodiska mätvärden från utvalda mätenheter. Verifiera att det är möjligt att manuellt begära in momentana  mätvärden fråndefinierad grupp av mätenheter. Verifiera att det är möjligt att manuellt begära in tidsperiodiska mätvärden fråndefinierad grupp av mätenheter.
151,,schemalägga Jobb för mätinsamling,Leverantörens svar på kravet under upphandlingen: Systemet är baserat på push av data. Därför skickar alla OMNIA e-meter automatiskt värden in till HES. Det behövs därför inga planerade jobb för insamling av data. Önskas andra data än de automatiskt inhämtade registren finns det funktionalitet i den erbjudna HES-lösningen för upprättande och planering av sådana jobb.
152,,Flera insamlingsjobb samtidigt,Verifiera att två manuella hämtningar kan genomföras samtidigt.
153,,Manuella Jobb för mätinsamling,Verifiera att en användare i HES kan skapa och starta manuella Jobb för mätinsamling.
154,,turordningen för olika sätt att samla in Mätvärden,"Leverantörens svar från upphandlingen:
Differentiering av pushintervall och starttidpunkt kan användas. Då data skickas in via push-teknik styr mätarna själva ordningsföljden på datasändningen utifrån en randomiseringsalgoritm."
155,,Insamling i olika tidsintervall,"Leverantörens svar från upphandlingen:
Differentiering av pushintervall och starttidpunkt kan användas. Då data skickas in via push-teknik styr mätarna själva ordningsföljden på datasändningen utifrån en randomiseringsalgoritm."
156,,Repetera kommunikationsförsök,"Leverantörens svar från upphandlingen:
Data skickas till HES via PUSH-teknik. Därför kommer OMNIA e-meter att försöka att skicka data tills det lyckas. På så vis löser tekniken behovet av detta krav."
157,,Konfigurerara kommunikationsförsök,"Leverantörens svar från upphandlingen:
Data skickas till HES via PUSH-teknik. Därför kommer OMNIA e-meter att försöka att skicka data tills det lyckas. På så vis löser tekniken behovet av detta krav."
158,,Behandling av manuellt insamlade mätvärden,Verifiera att HES kan ta emot och behandla Mätvärden som insamlats på manuell begäran. Verifiera att manuellt insamlade mätvärden behandlas på samma sätt som automatiskt insamlade.
159,,Alla mätvärden ska märkas med status,Verifiera att alla mätvärden märks med status för värdet.
160,,"Last Gasp, Kat1, 1 fas","Verifiera att mätare Kat 1, 1 fas har  ""Last Gasp"" funktionalitet. Verifiera att HES kan presentera att det finns ett  ""Last Gasp"" - det som finns i mätarens logg hamnar i HES."
162,,"Energivärden lagras 40 dygn Kat1, 3 fas","Verifiera att Energivärdena (15-minutersvärden)  lagras minst i 40 dygn i Mätenheterna av typ Kat 1, 3 fas."
163,,"PQ värden lagras 7 dygn, Kat1 - 3 fas",Verifiera att PQ-värdena lagras minst i 7 dygn i Mätenheterna av typ Kat 1 3 fas.
164,,"Avbrottshändelser lagras 40 dygn, Kat1 - 3 fas","Verifiera att Avbrottshändelse lagras minst i 40 dygn i Mätenheterna av typ Kat 1, 3 fas."
165,,"PQ händelser lagras 40 dygn, Kat1 - 3 fas","Verifiera att PQ-händelser ska lagras minst i 40 dygn i Mätenheterna av typ Kat 1, 3 fas."
166,,"Övriga händelser lagras 40 dygn, Kat1 - 3 fas","Verifiera att Övriga Händelser lagras minst i 40 dygn i Mätenheterna av typen Kat 1, 3 fas."
167,,"Registrera tid i Normaltid, Kat1 - 3 fas","Verifiera att Mätenheterna registrerar tid i Normaltid (UTC+1) i mätare av Kat 1, 3 fas."
168,,Högst avvika med 7 sek,"Verifiera mätenhetens tid för minst 10 mätare, innan sync med HES genomförs. Verifiera mätenheternas tid efter sync med HES genomförs."
169,,"Last Gasp, Kat1, 3 fas","Verifiera att mätare Kat 1, 3 fas har  ""Last Gasp"" funktionalitet. Verifiera att HES kan presentera att det finns ett  ""Last Gasp"" - det som finns i mätarens logg hamnar i HES."
170,,"Last Gasp, Kat2","Verifiera att mätare Kat 2 har  ""Last Gasp"" funktionalitet. Verifiera att HES kan presentera att det finns ett  ""Last Gasp"" - det som finns i mätarens logg hamnar i HES."
171,,Energivärden lagras 40 dygn Kat2,Verifiera att Energivärdena (15-minutersvärden)  lagras minst i 40 dygn i Mätenheterna av typ Kat 2.
172,,"PQ värden lagras 7 dygn, Kat2",Verifiera att PQ-värdena lagras minst i 7 dygn i Mätenheterna av typ Kat 2.
173,,"Avbrottshändelser lagras 40 dygn, Kat2",Verifiera att Avbrottshändelse lagras minst i 40 dygn i Mätenheterna av typ Kat 2.
174,,"PQ händelser lagras 40 dygn, Kat2",Verifiera att PQ-händelser ska lagras minst i 40 dygn i Mätenheterna av typ Kat 2.
175,,"Övriga händelser lagras 40 dygn, Kat2",Verifiera att Övriga Händelser lagras minst i 40 dygn i Mätenheterna av typen Kat 2.
176,,"Registrera tid i Normaltid, Kat2",Verifiera att Mätenheterna registrerar tid i Normaltid (UTC+1) i mätare av Kat 2.
177,,Rapporter utifrån status,Verifiera att status kommer med för mätvärden i de rapporter vi genererar.
178,,Energivärdena lagras 13 mån,Lägg in ett gammalt värde i HES (äldre än 13 månader. Verifiera att värdet tas bort automatiskt.
179,,PQ-värdena lagras 60 dygn,Lägg in ett gammalt PQ värde i HES. Verifiera värdet ligger kvar > 60 dygn senare.
180,,Kommunikationsmetadata lagras 36 mån,Lägg in ett gammalt värde. Verifiera att det finns kvar i upp till 36 månader senare.
